Date_Ext,negative,neutral,positive,pos_ori_per,neg_ori_per,neu_ori_per
2018/12/01,187,577,135,15.016685205784205,20.800889877641826,64.18242491657396
2018/12/02,182,559,144,16.271186440677965,20.56497175141243,63.163841807909606
2018/12/03,113,620,109,12.945368171021377,13.420427553444181,73.63420427553444
2018/12/04,281,537,166,16.869918699186993,28.556910569105693,54.573170731707314
2018/12/05,196,493,108,13.550815558343789,24.592220828105397,61.85696361355082
2018/12/06,154,509,157,19.146341463414632,18.78048780487805,62.073170731707314
2018/12/07,123,369,140,22.151898734177216,19.462025316455698,58.38607594936709
2018/12/08,140,521,139,17.375,17.5,65.125
2018/12/09,175,494,150,18.315018315018314,21.367521367521366,60.317460317460316
2018/12/10,149,411,96,14.634146341463415,22.713414634146343,62.65243902439025
2018/12/11,163,429,107,15.30758226037196,23.319027181688124,61.37339055793991
2018/12/12,178,527,97,12.094763092269327,22.194513715710723,65.71072319201996
