Date_Ext,Category,0.0,1.0
2018/11/04,negative,141,75
2018/11/04,neutral,215,393
2018/11/04,positive,81,53
2018/11/05,negative,81,67
2018/11/05,neutral,169,256
2018/11/05,positive,51,29
2018/11/06,negative,107,79
2018/11/06,neutral,199,280
2018/11/06,positive,65,30
2018/11/07,negative,125,89
2018/11/07,neutral,207,291
2018/11/07,positive,58,29
2018/11/08,negative,76,61
2018/11/08,neutral,156,275
2018/11/08,positive,64,29
2018/11/09,negative,105,55
2018/11/09,neutral,182,314
2018/11/09,positive,68,42
2018/11/10,negative,136,119
2018/11/10,neutral,238,465
2018/11/10,positive,97,38
2018/11/11,negative,101,80
2018/11/11,neutral,203,356
2018/11/11,positive,75,40
2018/11/12,negative,79,59
2018/11/12,neutral,158,235
2018/11/12,positive,55,30
2018/11/13,negative,69,57
2018/11/13,neutral,175,259
2018/11/13,positive,63,37
2018/11/14,negative,59,20
2018/11/14,neutral,106,179
2018/11/14,positive,40,13
2018/11/15,negative,99,53
2018/11/15,neutral,175,291
2018/11/15,positive,79,39
2018/11/16,negative,109,51
2018/11/16,neutral,174,300
2018/11/16,positive,78,49
