index,Date (EST),Contents,Category,Post Title,Date_Ext,token_text,sentiment_py,same_pred
0,2018/10/10,"@daniellinton16 Our UK support line opens in 4 minutes, you'll need to call when the lines open as I can't take account details over Twitter. ^AS @daniellinton16 Our UK support line opens in 4 minutes, you'll need to call when the lines open as I can't take account details over Twitter. ^AS",negative,"@daniellinton16 Our UK support line opens in 4 minutes, you'll need to call when the lines open as I can't take account details over Twitter. ^AS",2018/10/10,"['SCREEN_NAME', 'our', 'uk', 'support', 'line', 'opens', 'in', '4', 'minutes', '', 'you', 'll', 'need', 'to', 'call', 'when', 'the', 'lines', 'open', 'as', 'i', 'ca', 'nt', 'take', 'account', 'details', 'over', 'twitter', '', 'as', 'SCREEN_NAME', 'our', 'uk', 'support', 'line', 'opens', 'in', '4', 'minutes', '', 'you', 'll', 'need', 'to', 'call', 'when', 'the', 'lines', 'open', 'as', 'i', 'ca', 'nt', 'take', 'account', 'details', 'over', 'twitter', '', 'as']",neutral,0.0
1,2018/10/10,@joecann91 This depends on if the game you try to reinstall/download again can utilise enough of the free space currently left to do so. We can't provide any guarantees on this as game sizes can change with patches. ^DB @joecann91 This depends on if the game you try to reinstall/download again can utilise enough of the free space currently left to do so. We can't provide any guarantees on this as game sizes can change with patches. ^DB,neutral,@joecann91 This depends on if the game you try to reinstall/download again can utilise enough of the free space currently left to do so. We can't provide any guarantees on this as game sizes can change with patches. ^DB,2018/10/10,"['SCREEN_NAME', 'this', 'depends', 'on', 'if', 'the', 'game', 'you', 'try', 'to', 'reinstalldownload', 'again', 'can', 'utilise', 'enough', 'of', 'the', 'free', 'space', 'currently', 'left', 'to', 'do', 'so', '', 'we', 'ca', 'nt', 'provide', 'any', 'guarantees', 'on', 'this', 'as', 'game', 'sizes', 'can', 'change', 'with', 'patches', '', 'db', 'SCREEN_NAME', 'this', 'depends', 'on', 'if', 'the', 'game', 'you', 'try', 'to', 'reinstalldownload', 'again', 'can', 'utilise', 'enough', 'of', 'the', 'free', 'space', 'currently', 'left', 'to', 'do', 'so', '', 'we', 'ca', 'nt', 'provide', 'any', 'guarantees', 'on', 'this', 'as', 'game', 'sizes', 'can', 'change', 'with', 'patches', '', 'db']",negative,0.0
2,2018/10/08,"From High Noon to full moon... send shivers down foes' spines as UNDEAD MCCREE! Gather your friends to outlast the night -- Overwatch's Halloween Terror begins October 9! https://t.co/srWyeQCF95 From High Noon to full moon... send shivers down foes' spines as UNDEAD MCCREE! 

Gather your friends to outlast the night -- Overwatch's Halloween Terror begins October 9! https://t.co/srWyeQCF95",neutral,"From High Noon to full moon... send shivers down foes' spines as UNDEAD MCCREE! 

Gather your friends to outlast the night -- Overwatch's Halloween Terror begins October 9! https://t.co/srWyeQCF95",2018/10/08,"['from', 'high', 'noon', 'to', 'full', 'moon', '', 'send', 'shivers', 'down', 'foes', '', 'spines', 'as', 'undead', 'mccree', '', 'gather', 'your', 'friends', 'to', 'outlast', 'the', 'night', 'overwatch', 's', 'halloween', 'terror', 'begins', 'october', '9', '', 'from', 'high', 'noon', 'to', 'full', 'moon', '', 'send', 'shivers', 'down', 'foes', '', 'spines', 'as', 'undead', 'mccree', '', 'gather', 'your', 'friends', 'to', 'outlast', 'the', 'night', 'overwatch', 's', 'halloween', 'terror', 'begins', 'october', '9', '']",neutral,1.0
3,2018/10/07,@keratoks84 What did our tool request you do to help your connection? ^DK @keratoks84 What did our tool request you do to help your connection? ^DK,neutral,@keratoks84 What did our tool request you do to help your connection? ^DK,2018/10/07,"['SCREEN_NAME', 'what', 'did', 'our', 'tool', 'request', 'you', 'do', 'to', 'help', 'your', 'connection', '', 'dk', 'SCREEN_NAME', 'what', 'did', 'our', 'tool', 'request', 'you', 'do', 'to', 'help', 'your', 'connection', '', 'dk']",neutral,1.0
4,2018/10/09,@CoreyBelief Hi Corey! How can we help? @CoreyBelief Hi Corey! How can we help?,neutral,@CoreyBelief Hi Corey! How can we help?,2018/10/09,"['SCREEN_NAME', 'hi', 'corey', '', 'how', 'can', 'we', 'help', '', 'SCREEN_NAME', 'hi', 'corey', '', 'how', 'can', 'we', 'help', '']",neutral,1.0
5,2018/10/10,"@woollyspider1 Alright, I'll send you a DM about this so we can figure out what's gone wrong with the site! ^AS @woollyspider1 Alright, I'll send you a DM about this so we can figure out what's gone wrong with the site! ^AS",negative,"@woollyspider1 Alright, I'll send you a DM about this so we can figure out what's gone wrong with the site! ^AS",2018/10/10,"['SCREEN_NAME', 'alright', '', 'i', 'll', 'send', 'you', 'a', 'dm', 'about', 'this', 'so', 'we', 'can', 'figure', 'out', 'what', 's', 'gone', 'wrong', 'with', 'the', 'site', '', 'as', 'SCREEN_NAME', 'alright', '', 'i', 'll', 'send', 'you', 'a', 'dm', 'about', 'this', 'so', 'we', 'can', 'figure', 'out', 'what', 's', 'gone', 'wrong', 'with', 'the', 'site', '', 'as']",negative,1.0
6,2018/10/08,@Gabrielswe20 Thank you for contacting us. You will receive and email with more details and time of the suspension. Also you can check this link: https://t.co/2CpHxuUKRB for more information about banned accounts. @Gabrielswe20 Thank you for contacting us. You will receive and email with more details and time of the suspension. Also you can check this link: https://t.co/2CpHxuUKRB for more information about banned accounts.,neutral,@Gabrielswe20 Thank you for contacting us. You will receive and email with more details and time of the suspension. Also you can check this link: https://t.co/2CpHxuUKRB for more information about banned accounts.,2018/10/08,"['SCREEN_NAME', 'thank', 'you', 'for', 'contacting', 'us', '', 'you', 'will', 'receive', 'and', 'email', 'with', 'more', 'details', 'and', 'time', 'of', 'the', 'suspension', '', 'also', 'you', 'can', 'check', 'this', 'link', 'for', 'more', 'information', 'about', 'banned', 'accounts', '', 'SCREEN_NAME', 'thank', 'you', 'for', 'contacting', 'us', '', 'you', 'will', 'receive', 'and', 'email', 'with', 'more', 'details', 'and', 'time', 'of', 'the', 'suspension', '', 'also', 'you', 'can', 'check', 'this', 'link', 'for', 'more', 'information', 'about', 'banned', 'accounts', '']",positive,0.0
7,2018/10/08,"@joytries Thank you for contacting us. For info about refund requests, click here: https://t.co/MInrgZSl48 look for the reason of the refund and follow the steps. If the last option is to contact our support choose chat or phone support since they are the ones that handle refund requests. @joytries Thank you for contacting us. For info about refund requests, click here: https://t.co/MInrgZSl48 look for the reason of the refund and follow the steps. If the last option is to contact our support choose chat or phone support since they are the ones that handle refund requests.",neutral,"@joytries Thank you for contacting us. For info about refund requests, click here: https://t.co/MInrgZSl48 look for the reason of the refund and follow the steps. If the last option is to contact our support choose chat or phone support since they are the ones that handle refund requests.",2018/10/08,"['SCREEN_NAME', 'thank', 'you', 'for', 'contacting', 'us', '', 'for', 'info', 'about', 'refund', 'requests', '', 'click', 'here', 'look', 'for', 'the', 'reason', 'of', 'the', 'refund', 'and', 'follow', 'the', 'steps', '', 'if', 'the', 'last', 'option', 'is', 'to', 'contact', 'our', 'support', 'choose', 'chat', 'or', 'phone', 'support', 'since', 'they', 'are', 'the', 'ones', 'that', 'handle', 'refund', 'requests', '', 'SCREEN_NAME', 'thank', 'you', 'for', 'contacting', 'us', '', 'for', 'info', 'about', 'refund', 'requests', '', 'click', 'here', 'look', 'for', 'the', 'reason', 'of', 'the', 'refund', 'and', 'follow', 'the', 'steps', '', 'if', 'the', 'last', 'option', 'is', 'to', 'contact', 'our', 'support', 'choose', 'chat', 'or', 'phone', 'support', 'since', 'they', 'are', 'the', 'ones', 'that', 'handle', 'refund', 'requests', '']",neutral,1.0
8,2018/10/09,PS4 games news: GOOD news for PlayStation owners as Sony reveal update - NEW HOLIDAY plans from Sony has revealed some good news for PlayStation fans and PS4 gamers. https://t.co/UkcyZcI8gK PS4 games news: GOOD news for PlayStation owners as Sony reveal update - NEW HOLIDAY plans from Sony has revealed some good news for PlayStation fans and PS4 gamers. https://t.co/UkcyZcI8gK,neutral,PS4 games news: GOOD news for PlayStation owners as Sony reveal update - NEW HOLIDAY plans from Sony has revealed some good news for PlayStation fans and PS4 gamers. https://t.co/UkcyZcI8gK,2018/10/09,"['ps4', 'games', 'news', 'good', 'news', 'for', 'playstation', 'owners', 'as', 'sony', 'reveal', 'update', 'new', 'holiday', 'plans', 'from', 'sony', 'has', 'revealed', 'some', 'good', 'news', 'for', 'playstation', 'fans', 'and', 'ps4', 'gamers', '', 'ps4', 'games', 'news', 'good', 'news', 'for', 'playstation', 'owners', 'as', 'sony', 'reveal', 'update', 'new', 'holiday', 'plans', 'from', 'sony', 'has', 'revealed', 'some', 'good', 'news', 'for', 'playstation', 'fans', 'and', 'ps4', 'gamers', '']",positive,0.0
9,2018/10/09,@SarahChow19 I'm going to need to send you a DM to help you further. Please make sure that you are following us so that I can send you it. ^MM @SarahChow19 I'm going to need to send you a DM to help you further. Please make sure that you are following us so that I can send you it. ^MM,neutral,@SarahChow19 I'm going to need to send you a DM to help you further. Please make sure that you are following us so that I can send you it. ^MM,2018/10/09,"['SCREEN_NAME', 'i', 'm', 'going', 'to', 'need', 'to', 'send', 'you', 'a', 'dm', 'to', 'help', 'you', 'further', '', 'please', 'make', 'sure', 'that', 'you', 'are', 'following', 'us', 'so', 'that', 'i', 'can', 'send', 'you', 'it', '', 'mm', 'SCREEN_NAME', 'i', 'm', 'going', 'to', 'need', 'to', 'send', 'you', 'a', 'dm', 'to', 'help', 'you', 'further', '', 'please', 'make', 'sure', 'that', 'you', 'are', 'following', 'us', 'so', 'that', 'i', 'can', 'send', 'you', 'it', '', 'mm']",neutral,1.0
