Date_Ext,Category,0.0,1.0
10/10/2018,negative,35,25
10/10/2018,neutral,41,85
10/10/2018,positive,33,16
10/11/2018,negative,24,21
10/11/2018,neutral,26,95
10/11/2018,positive,21,4
10/12/2018,negative,11,11
10/12/2018,neutral,17,56
10/12/2018,positive,18,4
10/13/2018,negative,22,16
10/13/2018,neutral,17,48
10/13/2018,positive,16,5
10/7/2018,negative,38,14
10/7/2018,neutral,19,55
10/7/2018,positive,22,9
10/8/2018,negative,52,33
10/8/2018,neutral,81,166
10/8/2018,positive,31,18
10/9/2018,negative,37,28
10/9/2018,neutral,57,118
10/9/2018,positive,37,11
