Date_Ext,Category,0.0,1.0
1/21/2019,negative,11,11
1/21/2019,neutral,10,21
1/21/2019,positive,7,2
1/22/2019,negative,16,9
1/22/2019,neutral,8,28
1/22/2019,positive,10,4
1/23/2019,negative,29,9
1/23/2019,neutral,22,177
1/23/2019,positive,28,5
1/24/2019,negative,18,12
1/24/2019,neutral,106,145
1/24/2019,positive,18,3
1/25/2019,negative,16,6
1/25/2019,neutral,25,20
1/25/2019,positive,9,3
1/26/2019,negative,10,5
1/26/2019,neutral,13,25
1/26/2019,positive,6,10
1/27/2019,negative,57,9
1/27/2019,neutral,15,25
1/27/2019,positive,8,4
1/28/2019,negative,26,8
1/28/2019,neutral,16,47
1/28/2019,positive,15,4
