Date_Ext,Category,0.0,1.0
10/14/2018,negative,26,12
10/14/2018,neutral,7,32
10/14/2018,positive,8,2
10/15/2018,negative,13,8
10/15/2018,neutral,7,33
10/15/2018,positive,11,9
10/16/2018,negative,31,23
10/16/2018,neutral,20,36
10/16/2018,positive,13,4
10/17/2018,negative,31,21
10/17/2018,neutral,12,25
10/17/2018,positive,14,4
10/18/2018,negative,21,2
10/18/2018,neutral,10,56
10/18/2018,positive,8,2
10/19/2018,negative,19,7
10/19/2018,neutral,8,28
10/19/2018,positive,11,7
10/20/2018,negative,16,11
10/20/2018,neutral,7,29
10/20/2018,positive,4,3
