Date_Ext,Category,0.0,1.0
7/28/2018,negative,68,64
7/28/2018,neutral,127,251
7/28/2018,positive,41,14
7/29/2018,negative,84,82
7/29/2018,neutral,216,311
7/29/2018,positive,39,27
7/30/2018,negative,77,62
7/30/2018,neutral,167,320
7/30/2018,positive,55,25
7/31/2018,negative,95,85
7/31/2018,neutral,238,384
7/31/2018,positive,75,34
8/1/2018,negative,144,103
8/1/2018,neutral,302,461
8/1/2018,positive,68,31
8/2/2018,negative,128,58
8/2/2018,neutral,282,405
8/2/2018,positive,69,37
8/3/2018,negative,152,102
8/3/2018,neutral,334,445
8/3/2018,positive,77,41
8/4/2018,negative,74,66
8/4/2018,neutral,150,309
8/4/2018,positive,59,11
