Date_Ext,negative,neutral,positive,pos_per,neg_per,neu_per
6/17/2018,30,78,16,12.903225806451612,24.193548387096776,62.903225806451616
6/18/2018,28,111,16,10.32258064516129,18.06451612903226,71.61290322580645
6/19/2018,52,252,45,12.893982808022923,14.899713467048711,72.20630372492836
6/20/2018,48,199,28,10.181818181818182,17.454545454545453,72.36363636363636
6/21/2018,21,97,14,10.606060606060606,15.909090909090908,73.48484848484848
6/22/2018,10,69,14,15.053763440860216,10.75268817204301,74.19354838709677
6/23/2018,13,53,6,8.333333333333334,18.055555555555557,73.61111111111111
6/24/2018,13,38,4,7.2727272727272725,23.636363636363637,69.0909090909091
6/25/2018,452,45,8,1.5841584158415842,89.5049504950495,8.910891089108912
6/26/2018,16,42,7,10.76923076923077,24.615384615384617,64.61538461538461
