Date_Ext,negative,neutral,positive,pos_per,neg_per,neu_per
2018/12/01,186,522,191,21.24582869855395,20.689655172413794,58.064516129032256
2018/12/02,188,524,173,19.548022598870055,21.242937853107346,59.2090395480226
2018/12/03,307,408,127,15.08313539192399,36.46080760095012,48.45605700712589
2018/12/04,218,587,179,18.191056910569106,22.15447154471545,59.65447154471545
2018/12/05,164,469,164,20.577164366373903,20.577164366373903,58.84567126725219
2018/12/06,169,487,164,20.0,20.609756097560975,59.390243902439025
2018/12/07,113,390,129,20.411392405063292,17.879746835443036,61.70886075949367
2018/12/08,188,440,172,21.5,23.5,55.0
2018/12/09,180,492,147,17.94871794871795,21.978021978021978,60.07326007326007
2018/12/10,131,400,125,19.054878048780488,19.96951219512195,60.97560975609756
2018/12/11,172,408,119,17.024320457796854,24.606580829756794,58.36909871244635
2018/12/12,194,451,157,19.576059850374065,24.189526184538654,56.234413965087285
