Date_Ext,negative,neutral,positive,pos_ori_per,neg_ori_per,neu_ori_per
2018/11/04,216,608,134,13.987473903966597,22.546972860125262,63.46555323590814
2018/11/05,148,425,80,12.251148545176111,22.664624808575805,65.08422664624808
2018/11/06,186,479,95,12.5,24.473684210526315,63.026315789473685
2018/11/07,214,498,87,10.888610763454318,26.783479349186482,62.3279098873592
2018/11/08,137,431,93,14.069591527987898,20.726172465960666,65.20423600605143
2018/11/09,160,496,110,14.360313315926893,20.887728459530027,64.75195822454307
2018/11/10,255,703,135,12.351326623970722,23.33028362305581,64.31838975297347
2018/11/11,181,559,115,13.450292397660819,21.169590643274855,65.38011695906432
2018/11/12,138,393,85,13.7987012987013,22.4025974025974,63.798701298701296
2018/11/13,126,434,100,15.151515151515152,19.09090909090909,65.75757575757575
2018/11/14,79,285,53,12.709832134292565,18.94484412470024,68.34532374100719
2018/11/15,152,466,118,16.032608695652176,20.652173913043477,63.31521739130435
2018/11/16,160,474,127,16.68856767411301,21.02496714848883,62.28646517739816
