Date_Ext,Category,0.0,1.0
3/14/2018,negative,63,71
3/14/2018,neutral,119,204
3/14/2018,positive,88,28
3/15/2018,negative,76,106
3/15/2018,neutral,197,265
3/15/2018,positive,173,63
3/16/2018,negative,75,80
3/16/2018,neutral,221,255
3/16/2018,positive,171,51
3/17/2018,negative,93,115
3/17/2018,neutral,185,274
3/17/2018,positive,104,32
3/18/2018,negative,103,87
3/18/2018,neutral,150,257
3/18/2018,positive,229,36
3/19/2018,negative,50,62
3/19/2018,neutral,119,205
3/19/2018,positive,87,37
3/20/2018,negative,62,71
3/20/2018,neutral,153,217
3/20/2018,positive,163,42
3/21/2018,negative,64,89
3/21/2018,neutral,156,251
3/21/2018,positive,151,43
