Date_Ext,Category,0.0,1.0
2019/03/03,negative,89,74
2019/03/03,neutral,298,76
2019/03/03,positive,32,114
2019/03/04,negative,94,83
2019/03/04,neutral,241,104
2019/03/04,positive,40,76
2019/03/05,negative,74,71
2019/03/05,neutral,351,144
2019/03/05,positive,24,90
2019/03/06,negative,67,69
2019/03/06,neutral,304,130
2019/03/06,positive,18,85
2019/03/07,negative,91,89
2019/03/07,neutral,428,143
2019/03/07,positive,41,99
2019/03/08,negative,104,85
2019/03/08,neutral,367,141
2019/03/08,positive,33,99
2019/03/09,negative,71,58
2019/03/09,neutral,321,104
2019/03/09,positive,25,86
2019/03/10,negative,98,93
2019/03/10,neutral,409,127
2019/03/10,positive,35,117
2019/03/11,negative,78,58
2019/03/11,neutral,294,127
2019/03/11,positive,23,88
