Date_Ext,negative,neutral,positive,pos_per,neg_per,neu_per
2018/11/04,194,563,201,20.981210855949897,20.25052192066806,58.76826722338205
2018/11/05,160,344,149,22.817764165390507,24.502297090352222,52.67993874425727
2018/11/06,161,409,190,25.0,21.18421052631579,53.81578947368421
2018/11/07,202,431,166,20.775969962453065,25.281602002503128,53.942428035043804
2018/11/08,141,388,132,19.969742813918305,21.331316187594553,58.69894099848714
2018/11/09,148,441,177,23.10704960835509,19.321148825065276,57.57180156657964
2018/11/10,246,643,204,18.664226898444646,22.506861848124426,58.828911253430924
2018/11/11,180,497,178,20.818713450292396,21.05263157894737,58.12865497076023
2018/11/12,158,328,130,21.103896103896105,25.649350649350648,53.246753246753244
2018/11/13,154,365,141,21.363636363636363,23.333333333333332,55.303030303030305
2018/11/14,60,256,101,24.22062350119904,14.388489208633093,61.39088729016787
2018/11/15,127,433,176,23.91304347826087,17.255434782608695,58.83152173913044
2018/11/16,135,448,178,23.390275952693823,17.73981603153745,58.86990801576872
