Date_Ext,Category,0.0,1.0
3/15/2019,negative,20,10
3/15/2019,neutral,26,68
3/15/2019,positive,15,8
3/16/2019,negative,17,11
3/16/2019,neutral,19,61
3/16/2019,positive,13,5
3/17/2019,negative,19,16
3/17/2019,neutral,30,61
3/17/2019,positive,16,9
3/18/2019,negative,23,13
3/18/2019,neutral,32,63
3/18/2019,positive,11,5
3/19/2019,negative,212,115
3/19/2019,neutral,148,347
3/19/2019,positive,70,60
3/20/2019,negative,134,62
3/20/2019,neutral,107,284
3/20/2019,positive,45,24
3/21/2019,negative,48,21
3/21/2019,neutral,50,98
3/21/2019,positive,30,9
3/22/2019,negative,44,16
3/22/2019,neutral,31,66
3/22/2019,positive,22,10
3/23/2019,negative,27,27
3/23/2019,neutral,15,58
3/23/2019,positive,25,10
3/24/2019,negative,26,22
3/24/2019,neutral,32,69
3/24/2019,positive,30,11
3/25/2019,negative,42,28
3/25/2019,neutral,185,276
3/25/2019,positive,39,23
3/26/2019,negative,14,11
3/26/2019,neutral,37,63
3/26/2019,positive,18,5
3/27/2019,negative,24,10
3/27/2019,neutral,19,38
3/27/2019,positive,19,6
