index,Date (EST),Contents,Category,Post Title,Date_Ext,token_text,sentiment_py,same_pred
0,10/17/2017,"@CJampion_ Not good. Please do the system update from safe mode, option 3: https://t.co/OOaq76kzAA Using Internet @CJampion_ Not good. Please do the system update from safe mode, option 3: https://t.co/OOaq76kzAA
Using Internet",neutral,"@CJampion_ Not good. Please do the system update from safe mode, option 3: https://t.co/OOaq76kzAA
Using Internet",10/17/2017,"['SCREEN_NAME', '', 'not', 'good', '', 'please', 'do', 'the', 'system', 'update', 'from', 'safe', 'mode', '', 'option', '3', 'using', 'internet', 'SCREEN_NAME', '', 'not', 'good', '', 'please', 'do', 'the', 'system', 'update', 'from', 'safe', 'mode', '', 'option', '3', 'using', 'internet']",neutral,1.0
1,10/16/2017,@Ricky943796409 In this case we advise contacting https://t.co/lTYEZbE6qe for help with your TV ^EG @Ricky943796409 In this case we advise contacting https://t.co/lTYEZbE6qe for help with your TV ^EG,neutral,@Ricky943796409 In this case we advise contacting https://t.co/lTYEZbE6qe for help with your TV ^EG,10/16/2017,"['SCREEN_NAME', 'in', 'this', 'case', 'we', 'advise', 'contacting', 'for', 'help', 'with', 'your', 'tv', 'eg', 'SCREEN_NAME', 'in', 'this', 'case', 'we', 'advise', 'contacting', 'for', 'help', 'with', 'your', 'tv', 'eg']",neutral,1.0
2,10/15/2017,@jonnybarnett10 We have sent you a Direct Message via Twitter with further instructions. @jonnybarnett10 We have sent you a Direct Message via Twitter with further instructions.,neutral,@jonnybarnett10 We have sent you a Direct Message via Twitter with further instructions.,10/15/2017,"['SCREEN_NAME', 'we', 'have', 'sent', 'you', 'a', 'direct', 'message', 'via', 'twitter', 'with', 'further', 'instructions', '', 'SCREEN_NAME', 'we', 'have', 'sent', 'you', 'a', 'direct', 'message', 'via', 'twitter', 'with', 'further', 'instructions', '']",neutral,1.0
3,10/14/2017,"@Chris_G_Shirley Hi, I'm going to send you a DM. Please follow us if you haven't already! ^MK @Chris_G_Shirley Hi, I'm going to send you a DM. Please follow us if you haven't already! ^MK",positive,"@Chris_G_Shirley Hi, I'm going to send you a DM. Please follow us if you haven't already! ^MK",10/14/2017,"['SCREEN_NAME', 'hi', '', 'i', 'm', 'going', 'to', 'send', 'you', 'a', 'dm', '', 'please', 'follow', 'us', 'if', 'you', 'havent', 'already', '', 'mk', 'SCREEN_NAME', 'hi', '', 'i', 'm', 'going', 'to', 'send', 'you', 'a', 'dm', '', 'please', 'follow', 'us', 'if', 'you', 'havent', 'already', '', 'mk']",neutral,0.0
4,10/16/2017,@chriscod1993 Sorry to hear this! What error code do you get when you try to access your account? ^EG @chriscod1993 Sorry to hear this! What error code do you get when you try to access your account? ^EG,negative,@chriscod1993 Sorry to hear this! What error code do you get when you try to access your account? ^EG,10/16/2017,"['SCREEN_NAME', 'sorry', 'to', 'hear', 'this', '', 'what', 'error', 'code', 'do', 'you', 'get', 'when', 'you', 'try', 'to', 'access', 'your', 'account', '', 'eg', 'SCREEN_NAME', 'sorry', 'to', 'hear', 'this', '', 'what', 'error', 'code', 'do', 'you', 'get', 'when', 'you', 'try', 'to', 'access', 'your', 'account', '', 'eg']",negative,1.0
5,10/13/2017,@Ryanmaguire1989 Hello! Yes this will be copying your saved data ^ES @Ryanmaguire1989 Hello! Yes this will be copying your saved data ^ES,positive,@Ryanmaguire1989 Hello! Yes this will be copying your saved data ^ES,10/13/2017,"['SCREEN_NAME', 'hello', '', 'yes', 'this', 'will', 'be', 'copying', 'your', 'saved', 'data', 'es', 'SCREEN_NAME', 'hello', '', 'yes', 'this', 'will', 'be', 'copying', 'your', 'saved', 'data', 'es']",neutral,0.0
6,10/15/2017,@AlexHannon04 Please make sure you are logged into the correct account and try the previous steps again ^EG @AlexHannon04 Please make sure you are logged into the correct account and try the previous steps again ^EG,neutral,@AlexHannon04 Please make sure you are logged into the correct account and try the previous steps again ^EG,10/15/2017,"['SCREEN_NAME', 'please', 'make', 'sure', 'you', 'are', 'logged', 'into', 'the', 'correct', 'account', 'and', 'try', 'the', 'previous', 'steps', 'again', 'eg', 'SCREEN_NAME', 'please', 'make', 'sure', 'you', 'are', 'logged', 'into', 'the', 'correct', 'account', 'and', 'try', 'the', 'previous', 'steps', 'again', 'eg']",neutral,1.0
7,10/13/2017,@thegoodDRgonzo Hi there! Have you received an email stating a change of sign in ID? ^ES @thegoodDRgonzo Hi there! Have you received an email stating a change of sign in ID? ^ES,neutral,@thegoodDRgonzo Hi there! Have you received an email stating a change of sign in ID? ^ES,10/13/2017,"['SCREEN_NAME', 'hi', 'there', '', 'have', 'you', 'received', 'an', 'email', 'stating', 'a', 'change', 'of', 'sign', 'in', 'id', '', 'es', 'SCREEN_NAME', 'hi', 'there', '', 'have', 'you', 'received', 'an', 'email', 'stating', 'a', 'change', 'of', 'sign', 'in', 'id', '', 'es']",neutral,1.0
8,10/16/2017,@PhilHarding12 Hi Josh. Let's look into that. Please check your DM's for further instructions. @PhilHarding12 Hi Josh. Let's look into that. Please check your DM's for further instructions.,neutral,@PhilHarding12 Hi Josh. Let's look into that. Please check your DM's for further instructions.,10/16/2017,"['SCREEN_NAME', 'hi', 'josh', '', 'let', 's', 'look', 'into', 'that', '', 'please', 'check', 'your', 'dm', 's', 'for', 'further', 'instructions', '', 'SCREEN_NAME', 'hi', 'josh', '', 'let', 's', 'look', 'into', 'that', '', 'please', 'check', 'your', 'dm', 's', 'for', 'further', 'instructions', '']",neutral,1.0
9,10/14/2017,@alex7t4 Have you received an e-mail telling you your sign-in ID has been changed. ^MN @alex7t4 Have you received an e-mail telling you your sign-in ID has been changed. ^MN,neutral,@alex7t4 Have you received an e-mail telling you your sign-in ID has been changed. ^MN,10/14/2017,"['SCREEN_NAME', 'have', 'you', 'received', 'an', 'e', 'mail', 'telling', 'you', 'your', 'sign', 'in', 'id', 'has', 'been', 'changed', '', 'mn', 'SCREEN_NAME', 'have', 'you', 'received', 'an', 'e', 'mail', 'telling', 'you', 'your', 'sign', 'in', 'id', 'has', 'been', 'changed', '', 'mn']",neutral,1.0
10,10/15/2017,@Jonah_Lomas Try going in https://t.co/D9hEO3Gfxw se;ecting option 4. You won't lose any save data ^EG @Jonah_Lomas Try going in https://t.co/D9hEO3Gfxw se;ecting option 4. You won't lose any save data ^EG,neutral,@Jonah_Lomas Try going in https://t.co/D9hEO3Gfxw se;ecting option 4. You won't lose any save data ^EG,10/15/2017,"['SCREEN_NAME', 'try', 'going', 'in', 'seecting', 'option', '4', '', 'you', 'wo', 'nt', 'lose', 'any', 'save', 'data', 'eg', 'SCREEN_NAME', 'try', 'going', 'in', 'seecting', 'option', '4', '', 'you', 'wo', 'nt', 'lose', 'any', 'save', 'data', 'eg']",neutral,1.0
11,10/15/2017,@AskPlayStation Need to request a refund. PlayStation Now was purchased without my approval. @AskPlayStation Need to request a refund. PlayStation Now was purchased without my approval.,neutral,@AskPlayStation Need to request a refund. PlayStation Now was purchased without my approval.,10/15/2017,"['SCREEN_NAME', 'need', 'to', 'request', 'a', 'refund', '', 'playstation', 'now', 'was', 'purchased', 'without', 'my', 'approval', '', 'SCREEN_NAME', 'need', 'to', 'request', 'a', 'refund', '', 'playstation', 'now', 'was', 'purchased', 'without', 'my', 'approval', '']",neutral,1.0
12,10/13/2017,@pikastoise Hi there. Do you see any kind of error message or error code? @pikastoise  Hi there. Do you see any kind of error message or error code?,negative,@pikastoise  Hi there. Do you see any kind of error message or error code?,10/13/2017,"['SCREEN_NAME', 'hi', 'there', '', 'do', 'you', 'see', 'any', 'kind', 'of', 'error', 'message', 'or', 'error', 'code', '', 'SCREEN_NAME', 'hi', 'there', '', 'do', 'you', 'see', 'any', 'kind', 'of', 'error', 'message', 'or', 'error', 'code', '']",positive,0.0
13,10/17/2017,@CraigCharlton2 No worries! I'm going to send you a DM. Please follow us if you haven't already. ^EG @CraigCharlton2 No worries! I'm going to send you a DM. Please follow us if you haven't already. ^EG,positive,@CraigCharlton2 No worries! I'm going to send you a DM. Please follow us if you haven't already. ^EG,10/17/2017,"['SCREEN_NAME', 'no', 'worries', '', 'i', 'm', 'going', 'to', 'send', 'you', 'a', 'dm', '', 'please', 'follow', 'us', 'if', 'you', 'havent', 'already', '', 'eg', 'SCREEN_NAME', 'no', 'worries', '', 'i', 'm', 'going', 'to', 'send', 'you', 'a', 'dm', '', 'please', 'follow', 'us', 'if', 'you', 'havent', 'already', '', 'eg']",neutral,0.0
14,10/17/2017,@Bosworthboi Hi there! Have you received an email stating a change of sign in ID? ^ES @Bosworthboi Hi there! Have you received an email stating a change of sign in ID? ^ES,neutral,@Bosworthboi Hi there! Have you received an email stating a change of sign in ID? ^ES,10/17/2017,"['SCREEN_NAME', 'hi', 'there', '', 'have', 'you', 'received', 'an', 'email', 'stating', 'a', 'change', 'of', 'sign', 'in', 'id', '', 'es', 'SCREEN_NAME', 'hi', 'there', '', 'have', 'you', 'received', 'an', 'email', 'stating', 'a', 'change', 'of', 'sign', 'in', 'id', '', 'es']",neutral,1.0
15,10/14/2017,@OnAGoodMixture We do sometimes have competitions with prizes like PS4 Pro! Follow our blog to be the first one to know! ^MK @OnAGoodMixture We do sometimes have competitions with prizes like PS4 Pro! Follow our blog to be the first one to know! ^MK,neutral,@OnAGoodMixture We do sometimes have competitions with prizes like PS4 Pro! Follow our blog to be the first one to know! ^MK,10/14/2017,"['SCREEN_NAME', 'we', 'do', 'sometimes', 'have', 'competitions', 'with', 'prizes', 'like', 'ps4', 'pro', '', 'follow', 'our', 'blog', 'to', 'be', 'the', 'first', 'one', 'to', 'know', '', 'mk', 'SCREEN_NAME', 'we', 'do', 'sometimes', 'have', 'competitions', 'with', 'prizes', 'like', 'ps4', 'pro', '', 'follow', 'our', 'blog', 'to', 'be', 'the', 'first', 'one', 'to', 'know', '', 'mk']",neutral,1.0
16,10/17/2017,@AlyGammal Sorry to hear that! We have sent you a Direct Message via Twitter with further instructions. @AlyGammal Sorry to hear that! We have sent you a Direct Message via Twitter with further instructions.,negative,@AlyGammal Sorry to hear that! We have sent you a Direct Message via Twitter with further instructions.,10/17/2017,"['SCREEN_NAME', 'sorry', 'to', 'hear', 'that', '', 'we', 'have', 'sent', 'you', 'a', 'direct', 'message', 'via', 'twitter', 'with', 'further', 'instructions', '', 'SCREEN_NAME', 'sorry', 'to', 'hear', 'that', '', 'we', 'have', 'sent', 'you', 'a', 'direct', 'message', 'via', 'twitter', 'with', 'further', 'instructions', '']",negative,1.0
17,10/13/2017,@_MisterBlack_ Try option 5 also! ^ES @_MisterBlack_  Try option 5 also! ^ES,positive,@_MisterBlack_  Try option 5 also! ^ES,10/13/2017,"['SCREEN_NAME', '', 'try', 'option', '5', 'also', '', 'es', 'SCREEN_NAME', '', 'try', 'option', '5', 'also', '', 'es']",neutral,0.0
18,10/17/2017,"@IdealSanq Hey! Sorry to hear this, what happens when you try to log in? ^ES @IdealSanq Hey! Sorry to hear this, what happens when you try to log in? ^ES",negative,"@IdealSanq Hey! Sorry to hear this, what happens when you try to log in? ^ES",10/17/2017,"['SCREEN_NAME', 'hey', '', 'sorry', 'to', 'hear', 'this', '', 'what', 'happens', 'when', 'you', 'try', 'to', 'log', 'in', '', 'es', 'SCREEN_NAME', 'hey', '', 'sorry', 'to', 'hear', 'this', '', 'what', 'happens', 'when', 'you', 'try', 'to', 'log', 'in', '', 'es']",negative,1.0
19,10/16/2017,@NealPace Are you currently located on the same country as your PSN account? @NealPace Are you currently located on the same country as your PSN account?,neutral,@NealPace Are you currently located on the same country as your PSN account?,10/16/2017,"['SCREEN_NAME', 'are', 'you', 'currently', 'located', 'on', 'the', 'same', 'country', 'as', 'your', 'psn', 'account', '', 'SCREEN_NAME', 'are', 'you', 'currently', 'located', 'on', 'the', 'same', 'country', 'as', 'your', 'psn', 'account', '']",neutral,1.0
20,10/13/2017,"@CrocsSweg Hello! Sorry about this, what was the item and have you checked within your download list? ^ES @CrocsSweg Hello! Sorry about this, what was the item and have you checked within your download list? ^ES",neutral,"@CrocsSweg Hello! Sorry about this, what was the item and have you checked within your download list? ^ES",10/13/2017,"['SCREEN_NAME', 'hello', '', 'sorry', 'about', 'this', '', 'what', 'was', 'the', 'item', 'and', 'have', 'you', 'checked', 'within', 'your', 'download', 'list', '', 'es', 'SCREEN_NAME', 'hello', '', 'sorry', 'about', 'this', '', 'what', 'was', 'the', 'item', 'and', 'have', 'you', 'checked', 'within', 'your', 'download', 'list', '', 'es']",negative,0.0
21,10/17/2017,@SpeedyR_1 Hi there! I'm going to send you a DM. Please follow us if you haven't already ^ES @SpeedyR_1 Hi there! I'm going to send you a DM. Please follow us if you haven't already ^ES,positive,@SpeedyR_1 Hi there! I'm going to send you a DM. Please follow us if you haven't already ^ES,10/17/2017,"['SCREEN_NAME', 'hi', 'there', '', 'i', 'm', 'going', 'to', 'send', 'you', 'a', 'dm', '', 'please', 'follow', 'us', 'if', 'you', 'havent', 'already', 'es', 'SCREEN_NAME', 'hi', 'there', '', 'i', 'm', 'going', 'to', 'send', 'you', 'a', 'dm', '', 'please', 'follow', 'us', 'if', 'you', 'havent', 'already', 'es']",neutral,0.0
22,10/15/2017,@mattbedson12 Oh dear! Does this happen with all games? Does it happen to any other users on the PS4? ^MN @mattbedson12 Oh dear! Does this happen with all games? Does it happen to any other users on the PS4? ^MN,neutral,@mattbedson12 Oh dear! Does this happen with all games? Does it happen to any other users on the PS4? ^MN,10/15/2017,"['SCREEN_NAME', 'oh', 'dear', '', 'does', 'this', 'happen', 'with', 'all', 'games', '', 'does', 'it', 'happen', 'to', 'any', 'other', 'users', 'on', 'the', 'ps4', '', 'mn', 'SCREEN_NAME', 'oh', 'dear', '', 'does', 'this', 'happen', 'with', 'all', 'games', '', 'does', 'it', 'happen', 'to', 'any', 'other', 'users', 'on', 'the', 'ps4', '', 'mn']",negative,0.0
23,10/15/2017,@jasonseekk Hello Jason. Let's look into that. Review the next article for further info on error code CE-34878-0: https://t.co/W7AhTUulnd @jasonseekk Hello Jason. Let's look into that. Review the next article for further info on error code CE-34878-0: https://t.co/W7AhTUulnd,neutral,@jasonseekk Hello Jason. Let's look into that. Review the next article for further info on error code CE-34878-0: https://t.co/W7AhTUulnd,10/15/2017,"['SCREEN_NAME', 'hello', 'jason', '', 'let', 's', 'look', 'into', 'that', '', 'review', 'the', 'next', 'article', 'for', 'further', 'info', 'on', 'error', 'code', '0', 'SCREEN_NAME', 'hello', 'jason', '', 'let', 's', 'look', 'into', 'that', '', 'review', 'the', 'next', 'article', 'for', 'further', 'info', 'on', 'error', 'code', '0']",neutral,1.0
24,10/14/2017,"""PlayStation Now"" options have appeared in my predictive text. ""PlayStation Now"" options have appeared in my predictive text.",neutral,"""PlayStation Now"" options have appeared in my predictive text.",10/14/2017,"['', 'playstation', 'now', '', 'options', 'have', 'appeared', 'in', 'my', 'predictive', 'text', '', '', 'playstation', 'now', '', 'options', 'have', 'appeared', 'in', 'my', 'predictive', 'text', '']",neutral,1.0
25,10/14/2017,@Aleandaterzino Just to clarify you are having a hard time streaming a movie in HD quality? ^MN @Aleandaterzino Just to clarify you are having a hard time streaming a movie in HD quality? ^MN,neutral,@Aleandaterzino Just to clarify you are having a hard time streaming a movie in HD quality? ^MN,10/14/2017,"['SCREEN_NAME', 'just', 'to', 'clarify', 'you', 'are', 'having', 'a', 'hard', 'time', 'streaming', 'a', 'movie', 'in', 'hd', 'quality', '', 'mn', 'SCREEN_NAME', 'just', 'to', 'clarify', 'you', 'are', 'having', 'a', 'hard', 'time', 'streaming', 'a', 'movie', 'in', 'hd', 'quality', '', 'mn']",negative,0.0
26,10/15/2017,"@Dimitrialiba Hi there! Sure, you can! ^EG @Dimitrialiba Hi there! Sure, you can! ^EG",positive,"@Dimitrialiba Hi there! Sure, you can! ^EG",10/15/2017,"['SCREEN_NAME', 'hi', 'there', '', 'sure', '', 'you', 'can', '', 'eg', 'SCREEN_NAME', 'hi', 'there', '', 'sure', '', 'you', 'can', '', 'eg']",positive,1.0
27,10/16/2017,@connoris69 Hey! Please see https://t.co/z7OgCeI8aC for more info on notification settings ^ES @connoris69 Hey! Please see https://t.co/z7OgCeI8aC for more info on notification settings ^ES,neutral,@connoris69 Hey! Please see https://t.co/z7OgCeI8aC for more info on notification settings ^ES,10/16/2017,"['SCREEN_NAME', 'hey', '', 'please', 'see', 'for', 'more', 'info', 'on', 'notification', 'settings', 'es', 'SCREEN_NAME', 'hey', '', 'please', 'see', 'for', 'more', 'info', 'on', 'notification', 'settings', 'es']",positive,0.0
28,10/17/2017,@robertW725 Do you have 2SV set up? Are you still logged in on any other devices? ^ES @robertW725 Do you have 2SV set up? Are you still logged in on any other devices? ^ES,neutral,@robertW725 Do you have 2SV set up? Are you still logged in on any other devices? ^ES,10/17/2017,"['SCREEN_NAME', 'do', 'you', 'have', '2sv', 'set', 'up', '', 'are', 'you', 'still', 'logged', 'in', 'on', 'any', 'other', 'devices', '', 'es', 'SCREEN_NAME', 'do', 'you', 'have', '2sv', 'set', 'up', '', 'are', 'you', 'still', 'logged', 'in', 'on', 'any', 'other', 'devices', '', 'es']",negative,0.0
