Date_Ext,Category,0.0,1.0
2019/03/03,negative,89,74
2019/03/03,neutral,156,218
2019/03/03,positive,95,51
2019/03/04,negative,94,83
2019/03/04,neutral,143,202
2019/03/04,positive,91,25
2019/03/05,negative,74,71
2019/03/05,neutral,187,308
2019/03/05,positive,81,33
2019/03/06,negative,67,69
2019/03/06,neutral,171,263
2019/03/06,positive,58,45
2019/03/07,negative,91,89
2019/03/07,neutral,243,328
2019/03/07,positive,89,51
2019/03/08,negative,104,85
2019/03/08,neutral,215,293
2019/03/08,positive,91,41
2019/03/09,negative,71,58
2019/03/09,neutral,177,248
2019/03/09,positive,68,43
2019/03/10,negative,98,93
2019/03/10,neutral,228,308
2019/03/10,positive,94,58
2019/03/11,negative,78,58
2019/03/11,neutral,173,248
2019/03/11,positive,81,30
