Date_Ext,negative,neutral,positive,pos_per,neg_per,neu_per
12/1/2018,18,29,5,9.615384615384615,34.61538461538461,55.76923076923077
12/10/2018,15,62,5,6.097560975609756,18.29268292682927,75.60975609756098
12/11/2018,12,56,15,18.072289156626507,14.457831325301205,67.46987951807229
12/12/2018,15,66,18,18.181818181818183,15.151515151515152,66.66666666666667
12/13/2018,20,46,9,12.0,26.666666666666668,61.333333333333336
12/2/2018,18,40,10,14.705882352941176,26.470588235294116,58.8235294117647
12/3/2018,18,56,12,13.953488372093023,20.930232558139537,65.11627906976744
12/4/2018,46,125,30,14.925373134328359,22.885572139303484,62.18905472636816
12/5/2018,41,113,20,11.494252873563218,23.563218390804597,64.94252873563218
12/6/2018,31,106,38,21.714285714285715,17.714285714285715,60.57142857142857
12/7/2018,16,84,7,6.542056074766355,14.953271028037383,78.50467289719626
12/8/2018,27,49,15,16.483516483516482,29.67032967032967,53.84615384615385
12/9/2018,14,42,11,16.417910447761194,20.895522388059703,62.6865671641791
