Date_Ext,Category,0.0,1.0
2018/10/08,negative,101,81
2018/10/08,neutral,422,155
2018/10/08,positive,28,90
2018/10/09,negative,89,84
2018/10/09,neutral,386,195
2018/10/09,positive,32,87
2018/10/10,negative,123,80
2018/10/10,neutral,360,157
2018/10/10,positive,35,82
2018/10/11,negative,95,103
2018/10/11,neutral,521,177
2018/10/11,positive,50,86
2018/10/12,negative,133,79
2018/10/12,neutral,484,156
2018/10/12,positive,36,101
2018/10/13,negative,132,127
2018/10/13,neutral,540,186
2018/10/13,positive,36,106
2018/10/14,negative,198,140
2018/10/14,neutral,532,276
2018/10/14,positive,79,154
2018/10/15,negative,148,116
2018/10/15,neutral,479,226
2018/10/15,positive,35,92
