Date_Ext,Category,0.0,1.0
7/1/2018,negative,68,75
7/1/2018,neutral,123,214
7/1/2018,positive,34,17
7/2/2018,negative,68,86
7/2/2018,neutral,160,296
7/2/2018,positive,57,28
7/3/2018,negative,73,95
7/3/2018,neutral,176,283
7/3/2018,positive,112,38
7/4/2018,negative,65,57
7/4/2018,neutral,181,248
7/4/2018,positive,70,27
7/5/2018,negative,78,40
7/5/2018,neutral,119,197
7/5/2018,positive,52,23
7/6/2018,negative,68,50
7/6/2018,neutral,147,210
7/6/2018,positive,56,28
7/7/2018,negative,46,58
7/7/2018,neutral,141,204
7/7/2018,positive,60,22
7/8/2018,negative,83,58
7/8/2018,neutral,159,271
7/8/2018,positive,65,23
