Date_Ext,Category,0.0,1.0
2018/10/08,negative,101,81
2018/10/08,neutral,231,346
2018/10/08,positive,65,53
2018/10/09,negative,89,84
2018/10/09,neutral,225,356
2018/10/09,positive,87,32
2018/10/10,negative,123,80
2018/10/10,neutral,227,290
2018/10/10,positive,77,40
2018/10/11,negative,95,103
2018/10/11,neutral,281,417
2018/10/11,positive,101,35
2018/10/12,negative,133,79
2018/10/12,neutral,260,380
2018/10/12,positive,104,33
2018/10/13,negative,132,127
2018/10/13,neutral,325,401
2018/10/13,positive,101,41
2018/10/14,negative,198,140
2018/10/14,neutral,331,477
2018/10/14,positive,178,55
2018/10/15,negative,148,116
2018/10/15,neutral,289,416
2018/10/15,positive,89,38
