Date_Ext,Category,0.0,1.0
9/1/2018,negative,103,82
9/1/2018,neutral,238,330
9/1/2018,positive,68,36
9/2/2018,negative,74,61
9/2/2018,neutral,145,237
9/2/2018,positive,47,26
9/3/2018,negative,95,63
9/3/2018,neutral,162,284
9/3/2018,positive,71,30
9/4/2018,negative,122,92
9/4/2018,neutral,350,337
9/4/2018,positive,80,48
9/5/2018,negative,101,54
9/5/2018,neutral,246,350
9/5/2018,positive,70,41
9/6/2018,negative,105,74
9/6/2018,neutral,218,333
9/6/2018,positive,83,42
9/7/2018,negative,144,138
9/7/2018,neutral,268,402
9/7/2018,positive,77,28
9/8/2018,negative,141,106
9/8/2018,neutral,282,382
9/8/2018,positive,85,22
