Date_Ext,negative,neutral,positive,pos_per,neg_per,neu_per
11/10/2018,30,133,27,14.210526315789474,15.789473684210526,70.0
11/11/2018,31,90,34,21.93548387096774,20.0,58.064516129032256
11/12/2018,44,76,15,11.11111111111111,32.592592592592595,56.2962962962963
11/13/2018,18,74,11,10.679611650485437,17.475728155339805,71.84466019417475
11/14/2018,17,72,10,10.1010101010101,17.171717171717173,72.72727272727273
11/15/2018,23,77,20,16.666666666666668,19.166666666666668,64.16666666666667
11/16/2018,24,135,11,6.470588235294118,14.117647058823529,79.41176470588235
11/17/2018,24,62,15,14.851485148514852,23.762376237623762,61.386138613861384
11/4/2018,8,40,3,5.882352941176471,15.686274509803921,78.43137254901961
11/5/2018,19,66,11,11.458333333333334,19.791666666666668,68.75
11/6/2018,18,63,24,22.857142857142858,17.142857142857142,60.0
11/7/2018,46,124,35,17.073170731707318,22.4390243902439,60.48780487804878
11/8/2018,58,131,52,21.57676348547718,24.066390041493776,54.356846473029044
11/9/2018,39,153,42,17.94871794871795,16.666666666666668,65.38461538461539
