Date_Ext,Category,0.0,1.0
2018/11/04,negative,141,75
2018/11/04,neutral,412,196
2018/11/04,positive,35,99
2018/11/05,negative,81,67
2018/11/05,neutral,295,130
2018/11/05,positive,24,56
2018/11/06,negative,107,79
2018/11/06,neutral,322,157
2018/11/06,positive,20,75
2018/11/07,negative,126,88
2018/11/07,neutral,347,151
2018/11/07,positive,23,64
2018/11/08,negative,76,61
2018/11/08,neutral,279,152
2018/11/08,positive,23,70
2018/11/09,negative,105,55
2018/11/09,neutral,325,171
2018/11/09,positive,29,81
2018/11/10,negative,136,119
2018/11/10,neutral,491,212
2018/11/10,positive,30,105
2018/11/11,negative,101,80
2018/11/11,neutral,355,204
2018/11/11,positive,30,85
2018/11/12,negative,79,59
2018/11/12,neutral,272,121
2018/11/12,positive,21,64
2018/11/13,negative,69,57
2018/11/13,neutral,318,116
2018/11/13,positive,27,73
2018/11/14,negative,59,20
2018/11/14,neutral,201,84
2018/11/14,positive,14,39
2018/11/15,negative,99,53
2018/11/15,neutral,313,153
2018/11/15,positive,23,95
2018/11/16,negative,109,51
2018/11/16,neutral,286,188
2018/11/16,positive,23,104
