Date_Ext,negative,neutral,positive,pos_per,neg_per,neu_per
3/10/2019,15,43,12,17.142857142857142,21.428571428571427,61.42857142857143
3/11/2019,12,70,11,11.827956989247312,12.903225806451612,75.26881720430107
3/12/2019,80,395,71,13.003663003663004,14.652014652014651,72.34432234432235
3/13/2019,40,192,35,13.108614232209737,14.9812734082397,71.91011235955057
3/14/2019,42,136,30,14.423076923076923,20.192307692307693,65.38461538461539
3/3/2019,33,56,14,13.592233009708737,32.03883495145631,54.36893203883495
3/4/2019,19,65,9,9.67741935483871,20.43010752688172,69.89247311827957
3/5/2019,33,115,27,15.428571428571429,18.857142857142858,65.71428571428571
3/6/2019,19,69,14,13.72549019607843,18.627450980392158,67.6470588235294
3/7/2019,67,109,30,14.563106796116505,32.52427184466019,52.9126213592233
3/8/2019,34,101,26,16.149068322981368,21.11801242236025,62.732919254658384
3/9/2019,27,71,15,13.274336283185841,23.893805309734514,62.83185840707964
