Date_Ext,Category,0.0,1.0
2018/09/23,negative,189,39
2018/09/23,neutral,209,570
2018/09/23,positive,88,33
2018/09/24,negative,143,42
2018/09/24,neutral,128,469
2018/09/24,positive,93,35
2018/09/25,negative,207,58
2018/09/25,neutral,221,585
2018/09/25,positive,130,40
2018/09/26,negative,207,47
2018/09/26,neutral,180,645
2018/09/26,positive,198,74
2018/09/27,negative,179,39
2018/09/27,neutral,197,476
2018/09/27,positive,80,39
2018/09/28,negative,175,49
2018/09/28,neutral,192,455
2018/09/28,positive,112,51
2018/09/29,negative,185,38
2018/09/29,neutral,202,480
2018/09/29,positive,84,27
