Date_Ext,Category,0.0,1.0
2019/03/16,negative,98,82
2019/03/16,neutral,366,145
2019/03/16,positive,22,92
2019/03/17,negative,74,83
2019/03/17,neutral,300,128
2019/03/17,positive,37,105
2019/03/18,negative,68,68
2019/03/18,neutral,257,106
2019/03/18,positive,32,87
2019/03/19,negative,200,147
2019/03/19,neutral,439,209
2019/03/19,positive,43,166
2019/03/20,negative,140,98
2019/03/20,neutral,346,194
2019/03/20,positive,33,104
2019/03/21,negative,85,52
2019/03/21,neutral,310,130
2019/03/21,positive,31,89
2019/03/22,negative,85,63
2019/03/22,neutral,256,104
2019/03/22,positive,30,78
2019/03/23,negative,79,74
2019/03/23,neutral,268,82
2019/03/23,positive,26,123
2019/03/24,negative,103,68
2019/03/24,neutral,314,108
2019/03/24,positive,22,137
