Date_Ext,negative,neutral,positive,pos_ori_per,neg_ori_per,neu_ori_per
6/17/2018,29,76,19,15.32258064516129,23.387096774193548,61.29032258064516
6/18/2018,36,95,24,15.483870967741936,23.225806451612904,61.29032258064516
6/19/2018,57,274,18,5.157593123209169,16.332378223495702,78.51002865329512
6/20/2018,36,221,18,6.545454545454546,13.090909090909092,80.36363636363636
6/21/2018,24,89,19,14.393939393939394,18.181818181818183,67.42424242424242
6/22/2018,22,61,10,10.75268817204301,23.655913978494624,65.59139784946237
6/23/2018,15,47,10,13.88888888888889,20.833333333333332,65.27777777777777
6/24/2018,19,20,16,29.09090909090909,34.54545454545455,36.36363636363637
6/25/2018,363,78,64,12.673267326732674,71.88118811881188,15.445544554455445
6/26/2018,20,39,6,9.23076923076923,30.76923076923077,60.0
