Date_Ext,Category,0.0,1.0
9/1/2018,negative,12,7
9/1/2018,neutral,14,26
9/1/2018,positive,8,6
9/2/2018,negative,13,7
9/2/2018,neutral,14,22
9/2/2018,positive,9,5
9/3/2018,negative,9,7
9/3/2018,neutral,7,26
9/3/2018,positive,9,5
9/4/2018,negative,30,22
9/4/2018,neutral,131,49
9/4/2018,positive,18,7
9/5/2018,negative,28,12
9/5/2018,neutral,53,81
9/5/2018,positive,19,4
9/6/2018,negative,31,18
9/6/2018,neutral,44,67
9/6/2018,positive,15,12
9/7/2018,negative,30,22
9/7/2018,neutral,47,124
9/7/2018,positive,22,9
9/8/2018,negative,18,8
9/8/2018,neutral,17,38
9/8/2018,positive,15,3
