Date_Ext,Category,0.0,1.0
10/1/2018,negative,34,13
10/1/2018,neutral,33,74
10/1/2018,positive,11,4
9/25/2018,negative,17,19
9/25/2018,neutral,46,59
9/25/2018,positive,19,8
9/26/2018,negative,59,40
9/26/2018,neutral,60,243
9/26/2018,positive,116,39
9/27/2018,negative,24,12
9/27/2018,neutral,30,45
9/27/2018,positive,14,5
9/28/2018,negative,25,13
9/28/2018,neutral,22,35
9/28/2018,positive,19,5
9/29/2018,negative,18,6
9/29/2018,neutral,24,40
9/29/2018,positive,8,4
9/30/2018,negative,11,8
9/30/2018,neutral,14,28
9/30/2018,positive,10,5
