Date_Ext,Category,0.0,1.0
4/29/2018,negative,89,94
4/29/2018,neutral,133,282
4/29/2018,positive,55,21
4/30/2018,negative,79,88
4/30/2018,neutral,160,240
4/30/2018,positive,64,31
5/1/2018,negative,106,97
5/1/2018,neutral,174,439
5/1/2018,positive,102,26
5/2/2018,negative,64,73
5/2/2018,neutral,184,402
5/2/2018,positive,62,29
5/3/2018,negative,61,51
5/3/2018,neutral,124,238
5/3/2018,positive,66,23
5/4/2018,negative,88,62
5/4/2018,neutral,162,274
5/4/2018,positive,62,28
5/5/2018,negative,89,70
5/5/2018,neutral,138,244
5/5/2018,positive,64,23
5/6/2018,negative,81,62
5/6/2018,neutral,176,263
5/6/2018,positive,104,27
