Date_Ext,Category,0.0,1.0
2018/10/15,negative,147,115
2018/10/15,neutral,287,416
2018/10/15,positive,88,37
2018/10/16,negative,109,85
2018/10/16,neutral,218,427
2018/10/16,positive,146,29
2018/10/17,negative,166,258
2018/10/17,neutral,309,400
2018/10/17,positive,116,45
2018/10/18,negative,119,126
2018/10/18,neutral,242,373
2018/10/18,positive,103,53
2018/10/19,negative,163,103
2018/10/19,neutral,264,392
2018/10/19,positive,89,45
2018/10/20,negative,169,96
2018/10/20,neutral,282,382
2018/10/20,positive,95,29
