Date_Ext,Category,0.0,1.0
2018/09/23,negative,130,98
2018/09/23,neutral,508,271
2018/09/23,positive,41,80
2018/09/24,negative,91,94
2018/09/24,neutral,389,208
2018/09/24,positive,39,89
2018/09/25,negative,138,127
2018/09/25,neutral,512,294
2018/09/25,positive,53,117
2018/09/26,negative,135,119
2018/09/26,neutral,517,308
2018/09/26,positive,116,156
2018/09/27,negative,121,97
2018/09/27,neutral,482,191
2018/09/27,positive,34,85
2018/09/28,negative,122,102
2018/09/28,neutral,475,172
2018/09/28,positive,39,124
2018/09/29,negative,119,104
2018/09/29,neutral,461,221
2018/09/29,positive,33,78
