Date_Ext,Category,0.0,1.0
2018/09/23,negative,130,98
2018/09/23,neutral,305,474
2018/09/23,positive,88,33
2018/09/24,negative,91,94
2018/09/24,neutral,219,378
2018/09/24,positive,93,35
2018/09/25,negative,138,127
2018/09/25,neutral,319,487
2018/09/25,positive,130,40
2018/09/26,negative,135,119
2018/09/26,neutral,280,545
2018/09/26,positive,198,74
2018/09/27,negative,121,97
2018/09/27,neutral,302,371
2018/09/27,positive,80,39
2018/09/28,negative,122,102
2018/09/28,neutral,268,379
2018/09/28,positive,112,51
2018/09/29,negative,119,104
2018/09/29,neutral,297,385
2018/09/29,positive,84,27
