Date_Ext,Category,0.0,1.0
2019/02/04,negative,84,58
2019/02/04,neutral,143,251
2019/02/04,positive,85,15
2019/02/05,negative,95,90
2019/02/05,neutral,182,265
2019/02/05,positive,76,30
2019/02/06,negative,79,75
2019/02/06,neutral,139,229
2019/02/06,positive,73,46
2019/02/07,negative,99,79
2019/02/07,neutral,166,327
2019/02/07,positive,69,57
2019/02/08,negative,73,60
2019/02/08,neutral,162,243
2019/02/08,positive,70,28
2019/02/09,negative,101,80
2019/02/09,neutral,205,281
2019/02/09,positive,80,40
2019/02/10,negative,104,90
2019/02/10,neutral,216,337
2019/02/10,positive,76,51
2019/02/11,negative,61,70
2019/02/11,neutral,161,243
2019/02/11,positive,206,29
2019/02/12,negative,63,72
2019/02/12,neutral,140,213
2019/02/12,positive,83,41
