Date_Ext,negative,neutral,positive,pos_per,neg_per,neu_per
3/15/2019,31,97,19,12.92517006802721,21.08843537414966,65.98639455782313
3/16/2019,22,88,16,12.698412698412698,17.46031746031746,69.84126984126983
3/17/2019,39,91,21,13.907284768211921,25.827814569536425,60.264900662251655
3/18/2019,30,92,25,17.006802721088434,20.408163265306122,62.585034013605444
3/19/2019,219,597,136,14.285714285714286,23.00420168067227,62.71008403361345
3/20/2019,143,440,73,11.128048780487806,21.798780487804876,67.07317073170732
3/21/2019,47,163,46,17.96875,18.359375,63.671875
3/22/2019,41,123,25,13.227513227513228,21.693121693121693,65.07936507936508
3/23/2019,38,101,23,14.197530864197532,23.45679012345679,62.34567901234568
3/24/2019,51,121,18,9.473684210526315,26.842105263157894,63.68421052631579
3/25/2019,125,347,121,20.404721753794266,21.079258010118043,58.51602023608769
3/26/2019,39,92,17,11.486486486486486,26.35135135135135,62.16216216216216
3/27/2019,23,75,18,15.517241379310345,19.82758620689655,64.65517241379311
