Date_Ext,Category,0.0,1.0
2/10/2019,negative,15,5
2/10/2019,neutral,7,34
2/10/2019,positive,5,6
2/11/2019,negative,18,8
2/11/2019,neutral,23,46
2/11/2019,positive,21,5
2/12/2019,negative,17,7
2/12/2019,neutral,18,41
2/12/2019,positive,11,12
2/13/2019,negative,17,2
2/13/2019,neutral,14,30
2/13/2019,positive,10,4
2/4/2019,negative,27,14
2/4/2019,neutral,17,27
2/4/2019,positive,8,3
2/5/2019,negative,12,8
2/5/2019,neutral,17,39
2/5/2019,positive,5,2
2/6/2019,negative,9,13
2/6/2019,neutral,16,39
2/6/2019,positive,18,2
2/7/2019,negative,14,16
2/7/2019,neutral,29,108
2/7/2019,positive,17,11
2/8/2019,negative,20,8
2/8/2019,neutral,35,55
2/8/2019,positive,14,5
2/9/2019,negative,19,11
2/9/2019,neutral,17,43
2/9/2019,positive,9,7
