Date_Ext,negative,neutral,positive,pos_ori_per,neg_ori_per,neu_ori_per
3/10/2019,18,40,12,17.142857142857142,25.714285714285715,57.142857142857146
3/11/2019,23,55,15,16.129032258064516,24.731182795698924,59.13978494623656
3/12/2019,97,386,63,11.538461538461538,17.765567765567766,70.6959706959707
3/13/2019,58,174,35,13.108614232209737,21.722846441947567,65.1685393258427
3/14/2019,60,125,23,11.057692307692308,28.846153846153847,60.09615384615385
3/3/2019,39,53,11,10.679611650485437,37.86407766990291,51.45631067961165
3/4/2019,33,46,14,15.053763440860216,35.483870967741936,49.46236559139785
3/5/2019,37,115,23,13.142857142857142,21.142857142857142,65.71428571428571
3/6/2019,22,59,21,20.58823529411765,21.568627450980394,57.84313725490196
3/7/2019,46,128,32,15.533980582524272,22.33009708737864,62.13592233009709
3/8/2019,38,97,26,16.149068322981368,23.60248447204969,60.24844720496895
3/9/2019,30,68,15,13.274336283185841,26.548672566371682,60.176991150442475
