Date_Ext,Category,0.0,1.0
2018/10/08,negative,150,32
2018/10/08,neutral,155,422
2018/10/08,positive,65,53
2018/10/09,negative,141,32
2018/10/09,neutral,155,426
2018/10/09,positive,87,32
2018/10/10,negative,172,31
2018/10/10,neutral,151,366
2018/10/10,positive,77,40
2018/10/11,negative,151,47
2018/10/11,neutral,168,530
2018/10/11,positive,101,35
2018/10/12,negative,175,37
2018/10/12,neutral,178,462
2018/10/12,positive,104,33
2018/10/13,negative,205,54
2018/10/13,neutral,214,512
2018/10/13,positive,101,41
2018/10/14,negative,273,65
2018/10/14,neutral,235,573
2018/10/14,positive,178,55
2018/10/15,negative,216,48
2018/10/15,neutral,203,502
2018/10/15,positive,89,38
