Date_Ext,negative,neutral,positive,pos_ori_per,neg_ori_per,neu_ori_per
12/1/2018,19,24,9,17.307692307692307,36.53846153846154,46.15384615384615
12/10/2018,19,50,13,15.853658536585366,23.170731707317074,60.97560975609756
12/11/2018,25,43,15,18.072289156626507,30.120481927710845,51.80722891566265
12/12/2018,37,43,19,19.19191919191919,37.37373737373738,43.43434343434343
12/13/2018,32,27,16,21.333333333333332,42.666666666666664,36.0
12/2/2018,18,36,14,20.58823529411765,26.470588235294116,52.94117647058823
12/3/2018,23,52,11,12.790697674418604,26.74418604651163,60.46511627906977
12/4/2018,53,110,38,18.90547263681592,26.3681592039801,54.72636815920398
12/5/2018,40,110,24,13.793103448275861,22.988505747126435,63.2183908045977
12/6/2018,46,107,22,12.571428571428571,26.285714285714285,61.142857142857146
12/7/2018,31,56,20,18.69158878504673,28.97196261682243,52.33644859813084
12/8/2018,23,52,16,17.582417582417584,25.274725274725274,57.142857142857146
12/9/2018,13,37,17,25.37313432835821,19.402985074626866,55.223880597014926
