Date_Ext,Category,0.0,1.0
2019/03/16,negative,98,82
2019/03/16,neutral,175,336
2019/03/16,positive,67,47
2019/03/17,negative,74,83
2019/03/17,neutral,173,255
2019/03/17,positive,87,55
2019/03/18,negative,68,68
2019/03/18,neutral,145,218
2019/03/18,positive,88,31
2019/03/19,negative,200,147
2019/03/19,neutral,260,388
2019/03/19,positive,124,85
2019/03/20,negative,140,98
2019/03/20,neutral,190,350
2019/03/20,positive,77,60
2019/03/21,negative,85,52
2019/03/21,neutral,181,259
2019/03/21,positive,87,33
2019/03/22,negative,85,63
2019/03/22,neutral,167,193
2019/03/22,positive,75,33
2019/03/23,negative,79,74
2019/03/23,neutral,167,183
2019/03/23,positive,103,46
2019/03/24,negative,103,68
2019/03/24,neutral,167,255
2019/03/24,positive,96,63
