Date_Ext,Category,0.0,1.0
3/13/2018,negative,13,15
3/13/2018,neutral,24,38
3/13/2018,positive,8,3
3/14/2018,negative,12,12
3/14/2018,neutral,21,42
3/14/2018,positive,3,4
3/15/2018,negative,23,20
3/15/2018,neutral,39,41
3/15/2018,positive,21,10
3/16/2018,negative,22,10
3/16/2018,neutral,17,45
3/16/2018,positive,12,4
3/17/2018,negative,14,12
3/17/2018,neutral,14,22
3/17/2018,positive,10,5
3/18/2018,negative,21,14
3/18/2018,neutral,6,46
3/18/2018,positive,13,9
3/19/2018,negative,12,11
3/19/2018,neutral,13,28
3/19/2018,positive,12,7
3/20/2018,negative,14,9
3/20/2018,neutral,17,27
3/20/2018,positive,12,10
3/21/2018,negative,14,6
3/21/2018,neutral,9,32
3/21/2018,positive,11,11
