Date_Ext,Category,0.0,1.0
4/29/2018,negative,10,7
4/29/2018,neutral,11,22
4/29/2018,positive,9,2
4/30/2018,negative,10,5
4/30/2018,neutral,8,17
4/30/2018,positive,7,4
5/1/2018,negative,28,37
5/1/2018,neutral,35,196
5/1/2018,positive,19,6
5/2/2018,negative,23,18
5/2/2018,neutral,43,217
5/2/2018,positive,13,10
5/3/2018,negative,15,11
5/3/2018,neutral,21,74
5/3/2018,positive,12,6
5/4/2018,negative,18,8
5/4/2018,neutral,18,48
5/4/2018,positive,9,5
5/5/2018,negative,18,6
5/5/2018,neutral,8,27
5/5/2018,positive,12,4
5/6/2018,negative,16,11
5/6/2018,neutral,7,39
5/6/2018,positive,8,1
