Date_Ext,Category,0.0,1.0
7/28/2018,negative,20,11
7/28/2018,neutral,2,29
7/28/2018,positive,12,6
7/29/2018,negative,10,7
7/29/2018,neutral,5,24
7/29/2018,positive,5,3
7/30/2018,negative,5,4
7/30/2018,neutral,7,18
7/30/2018,positive,7,6
7/31/2018,negative,18,14
7/31/2018,neutral,35,36
7/31/2018,positive,12,2
8/1/2018,negative,17,14
8/1/2018,neutral,13,32
8/1/2018,positive,8,5
8/2/2018,negative,14,7
8/2/2018,neutral,13,24
8/2/2018,positive,2,1
8/3/2018,negative,16,25
8/3/2018,neutral,7,22
8/3/2018,positive,12,1
8/4/2018,negative,7,10
8/4/2018,neutral,10,26
8/4/2018,positive,7,3
