Date_Ext,Category,0.0,1.0
2018/12/01,negative,100,87
2018/12/01,neutral,388,189
2018/12/01,positive,36,99
2018/12/02,negative,109,73
2018/12/02,neutral,378,181
2018/12/02,positive,30,114
2018/12/03,negative,68,45
2018/12/03,neutral,444,176
2018/12/03,positive,25,84
2018/12/04,negative,193,88
2018/12/04,neutral,374,163
2018/12/04,positive,43,123
2018/12/05,negative,135,61
2018/12/05,neutral,306,187
2018/12/05,positive,26,82
2018/12/06,negative,77,77
2018/12/06,neutral,322,187
2018/12/06,positive,53,104
2018/12/07,negative,73,50
2018/12/07,neutral,230,139
2018/12/07,positive,36,104
2018/12/08,negative,78,62
2018/12/08,neutral,366,155
2018/12/08,positive,35,104
2018/12/09,negative,104,71
2018/12/09,neutral,336,158
2018/12/09,positive,40,110
2018/12/10,negative,94,55
2018/12/10,neutral,266,145
2018/12/10,positive,16,80
2018/12/11,negative,100,63
2018/12/11,neutral,292,137
2018/12/11,positive,22,85
2018/12/12,negative,112,66
2018/12/12,neutral,345,182
2018/12/12,positive,36,61
