Date_Ext,Category,0.0,1.0
6/17/2018,negative,17,12
6/17/2018,neutral,26,50
6/17/2018,positive,15,4
6/18/2018,negative,25,11
6/18/2018,neutral,19,76
6/18/2018,positive,18,6
6/19/2018,negative,37,20
6/19/2018,neutral,66,208
6/19/2018,positive,12,6
6/20/2018,negative,24,12
6/20/2018,neutral,55,166
6/20/2018,positive,12,6
6/21/2018,negative,15,9
6/21/2018,neutral,17,72
6/21/2018,positive,15,4
6/22/2018,negative,18,4
6/22/2018,neutral,15,46
6/22/2018,positive,6,4
6/23/2018,negative,9,6
6/23/2018,neutral,11,36
6/23/2018,positive,9,1
6/24/2018,negative,11,8
6/24/2018,neutral,4,16
6/24/2018,positive,12,4
6/25/2018,negative,12,351
6/25/2018,neutral,52,26
6/25/2018,positive,62,2
6/26/2018,negative,12,8
6/26/2018,neutral,11,28
6/26/2018,positive,4,2
