Date_Ext,Category,0.0,1.0
12/1/2018,negative,8,11
12/1/2018,neutral,7,17
12/1/2018,positive,8,1
12/10/2018,negative,11,8
12/10/2018,neutral,8,42
12/10/2018,positive,10,3
12/11/2018,negative,19,6
12/11/2018,neutral,13,30
12/11/2018,positive,12,3
12/12/2018,negative,27,10
12/12/2018,neutral,12,31
12/12/2018,positive,14,5
12/13/2018,negative,20,12
12/13/2018,neutral,8,19
12/13/2018,positive,12,4
12/2/2018,negative,7,11
12/2/2018,neutral,11,25
12/2/2018,positive,10,4
12/3/2018,negative,18,5
12/3/2018,neutral,17,35
12/3/2018,positive,5,6
12/4/2018,negative,31,22
12/4/2018,neutral,35,75
12/4/2018,positive,25,13
12/5/2018,negative,22,18
12/5/2018,neutral,32,78
12/5/2018,positive,19,5
12/6/2018,negative,28,18
12/6/2018,neutral,37,70
12/6/2018,positive,15,7
12/7/2018,negative,22,9
12/7/2018,neutral,12,44
12/7/2018,positive,19,1
12/8/2018,negative,6,17
12/8/2018,neutral,16,36
12/8/2018,positive,9,7
12/9/2018,negative,8,5
12/9/2018,neutral,13,24
12/9/2018,positive,14,3
