Date_Ext,Category,0.0,1.0
2018/10/15,negative,147,115
2018/10/15,neutral,477,226
2018/10/15,positive,35,90
2018/10/16,negative,109,85
2018/10/16,neutral,483,162
2018/10/16,positive,53,122
2018/10/17,negative,166,258
2018/10/17,neutral,470,239
2018/10/17,positive,50,111
2018/10/18,negative,119,126
2018/10/18,neutral,426,189
2018/10/18,positive,28,128
2018/10/19,negative,163,103
2018/10/19,neutral,437,219
2018/10/19,positive,30,104
2018/10/20,negative,169,96
2018/10/20,neutral,468,196
2018/10/20,positive,27,97
