Date_Ext,Category,0.0,1.0
2019/02/04,negative,84,58
2019/02/04,neutral,300,94
2019/02/04,positive,28,72
2019/02/05,negative,95,90
2019/02/05,neutral,318,129
2019/02/05,positive,31,75
2019/02/06,negative,79,75
2019/02/06,neutral,264,104
2019/02/06,positive,30,89
2019/02/07,negative,99,79
2019/02/07,neutral,351,142
2019/02/07,positive,29,97
2019/02/08,negative,73,60
2019/02/08,neutral,288,117
2019/02/08,positive,22,76
2019/02/09,negative,101,80
2019/02/09,neutral,365,121
2019/02/09,positive,25,95
2019/02/10,negative,104,90
2019/02/10,neutral,405,148
2019/02/10,positive,23,104
2019/02/11,negative,61,70
2019/02/11,neutral,304,100
2019/02/11,positive,71,164
2019/02/12,negative,63,72
2019/02/12,neutral,262,91
2019/02/12,positive,29,95
