Date_Ext,Category,0.0,1.0
6/17/2018,negative,113,63
6/17/2018,neutral,173,324
6/17/2018,positive,82,30
6/18/2018,negative,70,57
6/18/2018,neutral,146,270
6/18/2018,positive,78,23
6/19/2018,negative,72,98
6/19/2018,neutral,190,380
6/19/2018,positive,68,19
6/20/2018,negative,54,68
6/20/2018,neutral,183,335
6/20/2018,positive,59,22
6/21/2018,negative,83,92
6/21/2018,neutral,146,262
6/21/2018,positive,64,26
6/22/2018,negative,60,74
6/22/2018,neutral,193,298
6/22/2018,positive,115,35
6/23/2018,negative,82,69
6/23/2018,neutral,159,254
6/23/2018,positive,60,27
6/24/2018,negative,74,57
6/24/2018,neutral,135,194
6/24/2018,positive,57,28
6/25/2018,negative,77,60
6/25/2018,neutral,140,243
6/25/2018,positive,55,24
