Date_Ext,negative,neutral,positive,pos_per,neg_per,neu_per
2018/11/04,194,268,496,51.774530271398746,20.25052192066806,27.974947807933194
2018/11/05,160,166,327,50.07656967840735,24.502297090352222,25.42113323124043
2018/11/06,161,199,400,52.63157894736842,21.18421052631579,26.18421052631579
2018/11/07,202,214,383,47.934918648310386,25.281602002503128,26.783479349186482
2018/11/08,141,196,324,49.016641452344935,21.331316187594553,29.652042360060513
2018/11/09,148,226,392,51.174934725848566,19.321148825065276,29.503916449086162
2018/11/10,246,293,554,50.68618481244282,22.506861848124426,26.806953339432752
2018/11/11,180,271,404,47.251461988304094,21.05263157894737,31.695906432748536
2018/11/12,158,159,299,48.53896103896104,25.649350649350648,25.81168831168831
2018/11/13,154,153,353,53.484848484848484,23.333333333333332,23.181818181818183
2018/11/14,60,108,249,59.71223021582734,14.388489208633093,25.899280575539567
2018/11/15,127,214,395,53.66847826086956,17.255434782608695,29.07608695652174
2018/11/16,135,237,389,51.11695137976347,17.73981603153745,31.14323258869908
