Date_Ext,Category,0.0,1.0
7/1/2018,negative,15,16
7/1/2018,neutral,23,17
7/1/2018,positive,10,2
7/2/2018,negative,8,9
7/2/2018,neutral,14,35
7/2/2018,positive,6,9
7/3/2018,negative,22,14
7/3/2018,neutral,15,58
7/3/2018,positive,13,3
7/4/2018,negative,8,7
7/4/2018,neutral,21,39
7/4/2018,positive,9,6
7/5/2018,negative,7,2
7/5/2018,neutral,20,32
7/5/2018,positive,7,5
7/6/2018,negative,4,4
7/6/2018,neutral,7,21
7/6/2018,positive,8,5
7/7/2018,negative,15,8
7/7/2018,neutral,9,16
7/7/2018,positive,17,1
7/8/2018,negative,7,7
7/8/2018,neutral,4,11
7/8/2018,positive,3,3
