Date_Ext,Category,0.0,1.0
9/18/2018,negative,14,8
9/18/2018,neutral,20,18
9/18/2018,positive,7,5
9/19/2018,negative,35,32
9/19/2018,neutral,27,59
9/19/2018,positive,34,20
9/20/2018,negative,103,47
9/20/2018,neutral,252,611
9/20/2018,positive,76,39
9/21/2018,negative,56,25
9/21/2018,neutral,176,404
9/21/2018,positive,37,16
9/22/2018,negative,39,22
9/22/2018,neutral,47,141
9/22/2018,positive,17,5
9/23/2018,negative,22,13
9/23/2018,neutral,38,105
9/23/2018,positive,13,2
9/24/2018,negative,17,19
9/24/2018,neutral,22,71
9/24/2018,positive,17,7
9/25/2018,negative,17,19
9/25/2018,neutral,46,59
9/25/2018,positive,19,8
