Date_Ext,Category,0.0,1.0
2018/12/01,negative,100,87
2018/12/01,neutral,212,365
2018/12/01,positive,99,36
2018/12/02,negative,109,73
2018/12/02,neutral,216,343
2018/12/02,positive,109,35
2018/12/03,negative,68,45
2018/12/03,neutral,324,296
2018/12/03,positive,70,39
2018/12/04,negative,193,88
2018/12/04,neutral,214,323
2018/12/04,positive,131,35
2018/12/05,negative,135,61
2018/12/05,neutral,185,308
2018/12/05,positive,78,30
2018/12/06,negative,77,77
2018/12/06,neutral,176,333
2018/12/06,positive,102,55
2018/12/07,negative,73,50
2018/12/07,neutral,135,234
2018/12/07,positive,102,38
2018/12/08,negative,78,62
2018/12/08,neutral,221,300
2018/12/08,positive,90,49
2018/12/09,negative,104,71
2018/12/09,neutral,175,319
2018/12/09,positive,110,40
2018/12/10,negative,94,55
2018/12/10,neutral,135,276
2018/12/10,positive,64,32
2018/12/11,negative,100,63
2018/12/11,neutral,172,257
2018/12/11,positive,77,30
2018/12/12,negative,112,66
2018/12/12,neutral,211,316
2018/12/12,positive,60,37
