Date_Ext,Category,0.0,1.0
3/10/2019,negative,13,5
3/10/2019,neutral,14,26
3/10/2019,positive,9,3
3/11/2019,negative,16,7
3/11/2019,neutral,9,46
3/11/2019,positive,10,5
3/12/2019,negative,53,44
3/12/2019,neutral,82,304
3/12/2019,positive,48,15
3/13/2019,negative,40,18
3/13/2019,neutral,34,140
3/13/2019,positive,19,16
3/14/2019,negative,36,24
3/14/2019,neutral,39,86
3/14/2019,positive,17,6
3/3/2019,negative,23,16
3/3/2019,neutral,21,32
3/3/2019,positive,8,3
3/4/2019,negative,23,10
3/4/2019,neutral,12,34
3/4/2019,positive,10,4
3/5/2019,negative,21,16
3/5/2019,neutral,26,89
3/5/2019,positive,16,7
3/6/2019,negative,15,7
3/6/2019,neutral,15,44
3/6/2019,positive,13,8
3/7/2019,negative,21,25
3/7/2019,neutral,54,74
3/7/2019,positive,17,15
3/8/2019,negative,24,14
3/8/2019,neutral,31,66
3/8/2019,positive,18,8
3/9/2019,negative,16,14
3/9/2019,neutral,19,49
3/9/2019,positive,10,5
