Date_Ext,Category,0.0,1.0
11/10/2018,negative,46,15
11/10/2018,neutral,33,78
11/10/2018,positive,14,4
11/11/2018,negative,25,10
11/11/2018,neutral,43,54
11/11/2018,positive,16,7
11/12/2018,negative,24,7
11/12/2018,neutral,44,47
11/12/2018,positive,12,1
11/13/2018,negative,22,9
11/13/2018,neutral,11,42
11/13/2018,positive,13,6
11/14/2018,negative,26,9
11/14/2018,neutral,9,40
11/14/2018,positive,12,3
11/15/2018,negative,20,11
11/15/2018,neutral,15,48
11/15/2018,positive,17,9
11/16/2018,negative,24,7
11/16/2018,neutral,19,98
11/16/2018,positive,14,8
11/17/2018,negative,7,8
11/17/2018,neutral,26,49
11/17/2018,positive,8,3
11/4/2018,negative,10,4
11/4/2018,neutral,5,26
11/4/2018,positive,6,0
11/5/2018,negative,21,16
11/5/2018,neutral,12,39
11/5/2018,positive,6,2
11/6/2018,negative,24,12
11/6/2018,neutral,23,31
11/6/2018,positive,10,5
11/7/2018,negative,25,20
11/7/2018,neutral,48,81
11/7/2018,positive,24,7
11/8/2018,negative,43,23
11/8/2018,neutral,67,82
11/8/2018,positive,14,12
11/9/2018,negative,49,13
11/9/2018,neutral,61,94
11/9/2018,positive,12,5
