Date_Ext,negative,neutral,positive,pos_ori_per,neg_ori_per,neu_ori_per
11/10/2018,61,111,18,9.473684210526315,32.10526315789474,58.421052631578945
11/11/2018,35,97,23,14.838709677419354,22.580645161290324,62.58064516129032
11/12/2018,31,91,13,9.62962962962963,22.962962962962962,67.4074074074074
11/13/2018,31,53,19,18.446601941747574,30.097087378640776,51.45631067961165
11/14/2018,35,49,15,15.151515151515152,35.35353535353536,49.494949494949495
11/15/2018,31,63,26,21.666666666666668,25.833333333333332,52.5
11/16/2018,31,117,22,12.941176470588236,18.235294117647058,68.82352941176471
11/17/2018,15,75,11,10.891089108910892,14.851485148514852,74.25742574257426
11/4/2018,14,31,6,11.764705882352942,27.45098039215686,60.78431372549019
11/5/2018,37,51,8,8.333333333333334,38.541666666666664,53.125
11/6/2018,36,54,15,14.285714285714286,34.285714285714285,51.42857142857143
11/7/2018,45,129,31,15.121951219512194,21.951219512195124,62.926829268292686
11/8/2018,66,149,26,10.78838174273859,27.38589211618257,61.82572614107884
11/9/2018,62,155,17,7.264957264957265,26.495726495726494,66.23931623931624
