Date_Ext,negative,neutral,positive,unknown
2019-03-01 ,0,0,2,0
2019-03-02 ,0,0,4,0
2019-03-03 ,1,0,3,0
2019-03-04 ,0,1,4,0
2019-03-05 ,0,1,2,0
2019-03-06 ,0,1,3,0
2019-03-07 ,4,0,4,0
2019-03-08 ,3,0,9,0
2019-03-09 ,1,0,6,0
2019-03-10 ,2,1,3,0
2019-03-12 ,1,2,5,2
2019-03-13 ,1,1,8,0
2019-03-14 ,3,2,6,0
2019-03-15 ,2,0,1,2
2019-03-16 ,0,0,2,0
2019-03-17 ,0,0,3,0
2019-03-18 ,1,0,7,0
2019-03-19 ,7,2,21,0
2019-03-20 ,14,4,18,0
2019-03-21 ,2,0,8,0
2019-03-22 ,2,1,6,0
2019-03-24 ,2,0,3,0
2019-03-25 ,3,1,3,0
2019-03-26 ,2,0,3,0
2019-03-27 ,1,0,4,0
2019-03-28 ,1,0,4,0
2019-03-29 ,1,0,2,0
2019-03-30 ,0,1,2,0
2019-03-31 ,0,0,3,0
