Date_Ext,negative,neutral,positive,unknown
2019-03-01 ,8,0,6,0
2019-03-02 ,9,2,14,0
2019-03-03 ,11,1,17,0
2019-03-04 ,13,3,39,0
2019-03-05 ,11,3,21,0
2019-03-06 ,7,2,23,2
2019-03-07 ,19,1,50,0
2019-03-08 ,13,3,23,0
2019-03-09 ,9,3,26,0
2019-03-10 ,8,2,30,0
2019-03-11 ,7,3,18,0
2019-03-12 ,17,8,125,3
2019-03-13 ,20,19,89,0
2019-03-14 ,19,10,50,2
2019-03-15 ,8,12,38,2
2019-03-16 ,2,17,25,0
2019-03-17 ,3,4,29,0
2019-03-18 ,12,3,45,5
2019-03-19 ,59,18,216,7
2019-03-20 ,52,14,215,6
2019-03-21 ,15,6,87,2
2019-03-22 ,12,4,67,3
2019-03-23 ,5,1,40,0
2019-03-24 ,10,2,41,2
2019-03-25 ,82,11,108,0
2019-03-26 ,51,25,54,3
2019-03-27 ,8,24,39,2
2019-03-28 ,6,13,36,0
2019-03-29 ,6,10,34,0
2019-03-30 ,3,5,17,0
2019-03-31 ,4,9,14,0
