Date_Ext,negative,neutral,positive,unknown
00:00.0,0,0,0,2
00:05.0,1,0,0,0
00:07.0,0,0,1,0
00:18.0,0,0,1,0
00:29.0,0,0,1,0
00:34.0,0,0,1,0
00:40.0,1,0,0,0
00:47.0,0,0,1,0
00:48.0,1,0,0,0
00:57.0,0,1,0,0
01:02.0,0,0,1,0
01:04.0,0,0,0,2
01:07.0,0,1,0,0
01:10.0,0,0,1,0
01:11.0,0,1,0,0
01:13.0,0,1,0,0
01:16.0,1,0,0,0
01:17.0,0,1,0,0
01:18.0,0,1,0,0
01:25.0,0,1,0,0
01:30.0,0,0,1,0
01:34.0,1,0,0,0
01:36.0,0,0,1,0
01:38.0,0,1,0,0
01:45.0,0,1,0,0
01:55.0,0,1,0,0
01:56.0,0,1,0,0
01:57.0,0,0,1,0
01:59.0,0,0,1,0
02:00.0,0,0,1,0
02:01.0,0,1,0,0
02:02.0,1,0,0,0
02:04.0,1,0,0,0
02:05.0,0,1,0,0
02:07.0,0,0,1,0
02:09.0,0,1,0,0
02:11.0,0,0,0,2
02:14.0,0,0,0,2
02:16.0,0,0,1,0
02:19.0,0,0,0,2
02:23.0,0,0,0,2
02:29.0,0,0,1,0
02:34.0,0,0,1,0
02:38.0,0,0,0,2
02:39.0,0,0,1,0
02:48.0,0,1,0,0
02:54.0,0,1,0,0
02:57.0,0,0,1,0
02:59.0,0,1,0,0
03:03.0,1,0,0,0
03:04.0,1,0,0,0
03:07.0,0,1,0,0
03:13.0,0,1,0,0
03:14.0,0,0,1,0
03:17.0,0,1,0,0
03:19.0,0,0,0,2
03:20.0,0,0,1,0
03:23.0,0,0,1,0
03:27.0,0,1,0,0
03:28.0,0,0,1,0
03:30.0,1,0,0,0
03:36.0,0,1,0,0
03:37.0,1,0,0,0
03:41.0,1,0,0,0
03:44.0,0,0,0,2
03:45.0,1,0,0,0
03:47.0,1,0,0,0
03:50.0,0,1,0,0
03:51.0,0,0,1,0
03:53.0,0,1,0,0
03:54.0,0,0,0,2
03:55.0,0,0,1,0
04:03.0,0,1,0,0
04:04.0,1,0,0,0
04:11.0,0,0,0,2
04:13.0,0,0,1,0
04:14.0,0,0,1,0
04:21.0,0,0,1,0
04:27.0,0,1,0,0
04:30.0,0,0,1,0
04:36.0,0,1,0,0
04:42.0,0,1,0,0
04:45.0,1,0,0,0
04:50.0,0,0,1,0
04:55.0,1,0,0,0
04:59.0,0,0,0,2
05:00.0,0,1,0,0
05:04.0,0,0,0,2
05:05.0,1,0,0,0
05:10.0,1,0,0,0
05:11.0,1,0,0,0
05:16.0,0,0,1,0
05:19.0,0,0,0,2
05:21.0,0,0,1,0
05:27.0,1,0,0,0
05:36.0,1,0,0,0
05:40.0,0,0,1,0
05:53.0,0,0,1,0
05:56.0,0,0,1,0
05:57.0,1,0,0,0
05:59.0,1,0,0,0
06:00.0,0,1,0,0
06:02.0,0,1,0,0
06:03.0,0,1,0,0
06:09.0,0,0,1,0
06:17.0,0,0,0,2
06:23.0,0,1,0,0
06:24.0,0,0,1,0
06:25.0,0,0,1,0
06:28.0,0,0,1,0
06:29.0,0,0,0,2
06:30.0,0,0,1,0
06:31.0,0,0,0,2
06:47.0,0,0,1,0
06:50.0,0,1,0,0
06:53.0,0,0,1,0
06:58.0,0,0,0,2
07:06.0,0,0,0,2
07:21.0,0,0,1,0
07:26.0,0,1,0,0
07:29.0,0,1,0,0
07:38.0,0,1,0,0
07:46.0,0,1,0,0
07:48.0,0,1,0,0
08:07.0,0,0,1,0
08:10.0,0,0,1,0
08:12.0,0,0,1,0
08:13.0,1,0,0,0
08:18.0,0,0,1,0
08:25.0,0,0,0,2
08:26.0,0,0,1,0
08:30.0,0,0,1,0
08:31.0,0,1,0,0
08:33.0,0,0,1,0
08:38.0,1,0,0,0
08:42.0,0,1,0,0
08:48.0,0,1,0,0
08:50.0,0,0,1,0
08:54.0,1,0,0,0
08:55.0,0,0,1,0
08:56.0,1,0,0,0
09:01.0,0,1,0,0
09:08.0,0,0,1,0
09:09.0,0,1,0,0
09:10.0,0,1,0,0
09:13.0,1,0,0,0
09:26.0,0,0,1,0
09:27.0,0,1,0,0
09:32.0,0,0,1,0
09:33.0,0,1,0,0
09:40.0,0,0,1,0
09:48.0,0,0,1,0
10:04.0,1,0,0,0
10:23.0,0,0,1,0
10:34.0,0,1,0,0
10:37.0,1,0,0,0
10:43.0,0,1,0,0
10:45.0,1,0,0,0
10:49.0,0,1,0,0
10:50.0,0,1,0,0
10:58.0,1,0,0,0
10:59.0,0,0,1,0
11:02.0,0,0,0,2
11:10.0,0,0,1,0
11:13.0,0,1,0,0
11:20.0,1,0,0,0
11:23.0,1,0,0,0
11:28.0,0,0,1,0
11:29.0,0,0,1,0
11:31.0,0,1,0,0
11:32.0,1,0,0,0
11:37.0,1,0,0,0
11:38.0,0,1,0,0
11:41.0,0,1,0,0
11:43.0,0,0,1,0
11:44.0,0,1,0,0
11:45.0,0,1,0,0
11:46.0,1,0,0,0
11:47.0,0,0,1,0
11:56.0,0,0,1,0
11:58.0,0,0,1,0
12:06.0,0,1,0,0
12:13.0,0,0,0,2
12:16.0,0,0,1,0
12:18.0,0,1,0,0
12:26.0,0,0,0,2
12:37.0,1,0,0,0
12:44.0,1,0,0,0
12:46.0,0,0,1,0
12:50.0,0,0,1,0
12:55.0,0,0,1,0
13:00.0,0,0,1,0
