Date_Ext,negative,neutral,positive,unknown
2019-02-01 ,88,71,211,5
2019-02-02 ,46,43,133,0
2019-02-03 ,40,38,110,5
2019-02-04 ,53,31,147,0
2019-02-05 ,30,48,148,0
2019-02-06 ,45,57,95,2
2019-02-07 ,109,151,439,17
2019-02-08 ,61,119,271,13
2019-02-09 ,29,145,197,0
2019-02-10 ,88,48,195,0
2019-02-11 ,43,30,130,2
2019-02-12 ,46,59,148,0
2019-02-13 ,33,29,126,3
2019-02-14 ,47,59,336,13
2019-02-15 ,102,76,667,4
2019-02-16 ,32,30,88,4
2019-02-17 ,45,39,84,0
2019-02-18 ,39,39,178,13
2019-02-19 ,39,61,175,4
2019-02-20 ,43,89,156,2
2019-02-21 ,44,51,120,0
2019-02-22 ,63,77,172,0
2019-02-23 ,53,62,119,2
2019-02-24 ,35,37,100,0
2019-02-25 ,42,63,164,8
2019-02-26 ,55,55,132,4
2019-02-27 ,70,54,103,0
2019-02-28 ,5,4,15,3
2019-03-01 ,33,78,89,0
2019-03-02 ,34,64,96,2
2019-03-03 ,50,57,91,0
2019-03-04 ,64,42,130,4
2019-03-05 ,109,182,331,8
2019-03-06 ,57,110,215,8
2019-03-07 ,125,85,219,2
2019-03-08 ,100,95,191,2
2019-03-09 ,51,78,137,6
2019-03-10 ,51,58,129,0
2019-03-11 ,39,58,125,0
2019-03-12 ,126,392,527,32
2019-03-13 ,131,197,339,12
2019-03-14 ,88,116,207,5
2019-03-15 ,55,95,140,4
2019-03-16 ,41,93,135,2
2019-03-17 ,47,80,171,0
2019-03-18 ,49,70,246,8
2019-03-19 ,384,323,938,113
2019-03-20 ,296,272,799,51
2019-03-21 ,95,102,282,5
2019-03-22 ,73,78,229,7
2019-03-23 ,64,88,206,2
2019-03-24 ,69,99,185,10
2019-03-25 ,278,333,528,26
2019-03-26 ,115,103,205,5
2019-03-27 ,44,86,173,2
2019-03-28 ,50,75,130,4
2019-03-29 ,38,66,119,2
2019-03-30 ,31,47,100,0
2019-03-31 ,29,55,97,2
