Date_Ext,negative,neutral,positive,unknown
2019-03-01 ,32,76,87,0
2019-03-02 ,34,64,95,2
2019-03-03 ,48,57,91,2
2019-03-04 ,66,43,129,0
2019-03-05 ,12,14,16,0
2019-03-06 ,0,2,3,0
2019-03-07 ,0,1,1,0
2019-03-08 ,0,0,3,0
2019-03-11 ,1,3,4,0
2019-03-13 ,0,3,4,0
2019-03-14 ,1,0,1,0
2019-03-15 ,2,3,0,0
2019-03-16 ,1,0,1,0
2019-03-17 ,0,1,0,0
2019-03-18 ,0,0,1,0
2019-03-19 ,1,0,2,0
2019-03-20 ,3,2,16,0
2019-03-23 ,1,0,3,0
2019-03-24 ,1,4,3,0
2019-03-25 ,0,2,0,0
2019-03-26 ,2,3,3,0
2019-03-27 ,1,3,1,0
2019-03-29 ,1,1,1,0
2019-03-31 ,0,0,4,0
