Date_Ext,negative,neutral,positive,unknown
2019-02-01 ,1,1,9,0
2019-02-02 ,0,0,7,0
2019-02-04 ,2,3,6,0
2019-02-05 ,1,0,38,0
2019-02-06 ,0,0,10,2
2019-02-07 ,0,1,7,0
2019-02-08 ,1,0,2,0
2019-02-11 ,1,0,7,0
2019-02-12 ,1,0,3,0
2019-02-13 ,0,0,4,0
2019-02-14 ,0,0,7,0
2019-02-15 ,1,0,5,0
2019-02-17 ,1,0,2,0
2019-02-18 ,2,0,8,0
2019-02-19 ,3,2,12,0
2019-02-20 ,0,0,11,0
2019-02-21 ,0,0,7,0
2019-02-22 ,6,1,17,0
2019-02-23 ,3,2,7,0
2019-02-24 ,0,0,4,0
2019-02-25 ,2,0,4,0
2019-02-26 ,1,0,4,0
2019-02-27 ,1,0,2,0
2019-02-28 ,0,0,1,0
2019-03-01 ,0,0,25,0
2019-03-02 ,2,0,2,0
2019-03-03 ,2,0,2,0
2019-03-04 ,1,0,7,0
2019-03-05 ,1,0,3,0
2019-03-06 ,0,0,6,0
2019-03-07 ,2,0,7,0
2019-03-08 ,7,1,5,0
2019-03-09 ,1,0,14,0
2019-03-10 ,7,1,9,0
2019-03-11 ,4,0,13,0
2019-03-12 ,3,1,97,0
2019-03-13 ,7,1,57,0
2019-03-14 ,6,0,26,4
2019-03-15 ,3,2,22,2
2019-03-16 ,1,0,18,0
2019-03-17 ,3,0,18,0
2019-03-18 ,7,1,23,2
2019-03-19 ,151,72,413,20
2019-03-20 ,110,44,396,12
2019-03-21 ,36,6,111,2
2019-03-22 ,16,4,83,3
2019-03-23 ,11,4,50,0
2019-03-24 ,13,7,50,2
2019-03-25 ,28,7,102,0
2019-03-26 ,9,22,46,0
2019-03-27 ,5,25,46,2
2019-03-28 ,8,13,26,2
2019-03-29 ,7,11,16,0
2019-03-30 ,1,3,7,0
2019-03-31 ,3,10,10,0
