Date_Ext,negative,neutral,positive,unknown
2019-02-01 ,88,72,213,5
2019-02-02 ,47,43,134,0
2019-02-03 ,41,38,110,5
2019-02-04 ,53,32,150,0
2019-02-05 ,30,48,151,0
2019-02-06 ,45,58,97,2
2019-02-07 ,110,152,445,17
2019-02-08 ,61,120,275,13
2019-02-09 ,29,146,201,0
2019-02-10 ,88,49,196,0
2019-02-11 ,43,30,130,2
2019-02-12 ,46,60,149,0
2019-02-13 ,34,30,128,3
2019-02-14 ,49,59,348,15
2019-02-15 ,106,76,700,6
2019-02-16 ,35,30,96,4
2019-02-17 ,45,39,84,0
2019-02-18 ,39,41,183,14
2019-02-19 ,40,62,181,4
2019-02-20 ,43,90,157,2
2019-02-21 ,47,52,122,0
2019-02-22 ,65,77,174,2
2019-02-23 ,53,63,119,4
2019-02-24 ,37,37,100,0
2019-02-25 ,44,65,169,8
2019-02-26 ,55,55,134,4
2019-02-27 ,71,55,105,0
2019-02-28 ,5,4,15,3
2019-03-01 ,33,77,88,0
