Date_Ext,negative,neutral,positive,unknown
2019-02-01 ,2,0,5,0
2019-02-02 ,2,2,2,0
2019-02-03 ,2,0,4,0
2019-02-04 ,1,0,3,0
2019-02-05 ,0,1,2,0
2019-02-06 ,0,0,4,0
2019-02-07 ,10,62,293,11
2019-02-08 ,5,59,65,5
2019-02-09 ,2,8,11,0
2019-02-10 ,1,3,24,0
2019-02-11 ,0,4,10,0
2019-02-12 ,0,0,8,0
2019-02-13 ,0,2,4,0
2019-02-14 ,0,0,219,0
2019-02-15 ,1,1,560,0
2019-02-16 ,0,2,23,2
2019-02-17 ,1,2,6,0
2019-02-18 ,3,1,10,0
2019-02-19 ,1,1,8,0
2019-02-20 ,1,28,21,0
2019-02-21 ,0,5,5,0
2019-02-22 ,0,0,8,0
2019-02-23 ,0,1,10,0
2019-02-24 ,1,0,3,0
2019-02-25 ,0,0,6,0
2019-02-26 ,0,12,10,0
2019-02-27 ,0,4,5,0
2019-02-28 ,0,0,1,0
2019-03-01 ,3,0,3,0
2019-03-02 ,1,1,1,0
2019-03-03 ,0,0,5,0
2019-03-04 ,2,0,11,0
2019-03-05 ,34,97,38,0
2019-03-06 ,6,42,82,0
2019-03-07 ,3,6,28,0
2019-03-08 ,2,6,23,0
2019-03-09 ,2,3,24,0
2019-03-10 ,5,15,21,0
2019-03-11 ,1,9,23,0
2019-03-12 ,25,3,41,2
2019-03-13 ,37,2,24,0
2019-03-14 ,6,0,7,0
2019-03-15 ,2,3,15,0
2019-03-16 ,0,1,10,0
2019-03-17 ,1,1,6,0
2019-03-18 ,0,0,1,0
2019-03-19 ,5,5,29,0
2019-03-20 ,5,3,27,0
2019-03-21 ,3,0,17,0
2019-03-22 ,1,0,15,0
2019-03-23 ,2,0,6,0
2019-03-24 ,1,0,5,0
2019-03-25 ,0,0,53,0
2019-03-26 ,2,1,11,3
2019-03-27 ,1,2,10,0
2019-03-28 ,2,1,5,0
2019-03-29 ,0,1,4,0
2019-03-30 ,1,2,1,0
2019-03-31 ,3,4,1,0
